m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,8.5,15.3,22.5,5.9,0.0,0.01,0.0
2,10.0,17.5,25.0,7.3,1.0,0.02,0.0
3,14.0,22.0,29.2,7.1,1.0,0.02,2.0
4,19.1,27.4,35.0,7.7,1.0,0.02,0.0
5,24.1,32.2,39.5,7.5,0.0,0.01,0.0
6,27.0,34.7,41.5,8.1,0.0,0.0,0.0
7,27.4,34.6,41.2,8.1,0.0,0.0,0.0
8,27.6,34.6,41.1,7.5,0.0,0.0,0.0
9,25.5,32.6,39.5,7.3,0.0,0.0,0.0
10,21.8,28.5,35.7,5.7,0.0,0.0,0.0
11,16.0,22.3,29.4,4.9,0.0,0.0,0.0
12,10.5,17.7,24.5,4.6,0.0,0.0,0.0
