m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,3.8,5.5,7.0,31.6,18.0,0.59,51.0
2,4.0,5.6,7.5,30.7,14.0,0.49,59.0
3,4.6,6.7,8.7,27.2,14.0,0.44,37.0
4,6.2,8.6,11.5,25.9,11.0,0.37,32.0
5,10.1,12.6,15.7,22.8,9.0,0.3,28.0
6,13.3,15.7,18.9,21.8,10.0,0.33,51.0
7,15.3,17.4,19.9,23.3,9.0,0.29,25.0
8,16.2,18.5,20.8,23.6,10.0,0.33,47.0
9,14.2,16.0,18.9,23.2,12.0,0.39,65.0
10,11.1,12.9,14.7,28.3,17.0,0.55,80.0
11,7.5,9.3,10.5,27.8,17.0,0.57,62.0
12,5.1,6.6,8.1,30.4,20.0,0.63,68.0
