m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,8.5,12.5,18.1,15.4,6.0,0.19,16.0
2,9.2,13.8,19.0,15.2,3.0,0.11,3.0
3,11.1,15.1,20.4,14.7,10.0,0.33,78.0
4,12.7,17.0,22.0,13.8,6.0,0.22,22.0
5,16.0,20.0,25.5,14.1,4.0,0.13,5.0
6,19.6,23.9,29.4,14.0,2.0,0.06,0.0
7,22.3,26.2,31.9,13.7,0.0,0.01,0.0
8,23.2,26.8,32.1,12.4,1.0,0.03,0.0
9,20.9,23.9,29.3,12.8,3.0,0.11,4.0
10,16.1,20.0,25.3,12.1,6.0,0.2,15.0
11,12.4,16.4,21.5,14.9,5.0,0.18,18.0
12,10.0,13.9,19.2,14.5,6.0,0.19,7.0
