m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,0.5,4.3,7.9,6.4,4.0,0.4,22.0
1,2,-1.6,3.1,8.4,6.7,2.0,0.2,9.0
1,3,-1.3,3.6,8.4,7.0,3.0,0.28,7.0
2,1,1.0,5.9,10.7,6.9,2.0,0.23,11.0
2,2,0.9,6.2,11.7,6.0,2.0,0.17,2.0
2,3,2.8,8.1,14.0,7.4,3.0,0.28,6.0
3,1,2.8,8.3,13.9,8.5,4.0,0.37,24.0
3,2,3.6,9.3,14.3,8.4,1.0,0.14,0.0
3,3,3.3,10.9,16.9,8.0,3.0,0.26,6.0
4,1,5.3,11.8,17.8,8.7,3.0,0.25,5.0
4,2,7.3,13.5,19.8,8.6,3.0,0.26,8.0
4,3,9.0,15.3,20.3,7.9,4.0,0.42,21.0
5,1,11.2,16.7,22.0,7.9,4.0,0.43,16.0
5,2,13.0,17.7,22.0,8.8,6.0,0.59,23.0
5,3,14.5,20.1,25.0,7.8,5.0,0.44,19.0
6,1,16.0,21.9,27.6,7.2,4.0,0.4,22.0
6,2,17.3,23.5,29.3,7.8,3.0,0.27,7.0
6,3,19.1,25.2,30.9,8.4,2.0,0.21,1.0
7,1,18.8,25.3,31.5,7.7,3.0,0.32,8.0
7,2,19.6,26.0,31.3,7.6,2.0,0.15,4.0
7,3,20.5,26.8,32.1,7.3,3.0,0.32,21.0
8,1,19.6,25.9,31.7,6.9,2.0,0.24,18.0
8,2,19.4,25.8,31.9,6.8,3.0,0.33,5.0
8,3,18.4,24.6,30.8,7.4,3.0,0.24,9.0
9,1,16.4,22.0,28.1,7.0,3.0,0.3,22.0
9,2,16.2,22.1,27.2,7.1,4.0,0.38,8.0
9,3,12.9,17.8,23.8,7.0,3.0,0.3,18.0
10,1,11.9,16.4,21.7,7.0,3.0,0.34,15.0
10,2,10.1,14.3,20.5,6.0,2.0,0.25,20.0
10,3,9.9,14.6,19.5,6.1,5.0,0.43,18.0
11,1,7.1,10.7,16.3,7.1,5.0,0.45,22.0
11,2,4.8,8.8,13.5,7.4,4.0,0.38,5.0
11,3,2.6,7.0,10.8,6.2,3.0,0.3,4.0
12,1,1.1,5.1,9.1,7.5,5.0,0.52,33.0
12,2,-0.2,3.5,8.3,6.2,3.0,0.25,7.0
12,3,1.4,4.6,8.6,5.5,3.0,0.23,3.0
