m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
1,3.2,5.9,9.6,5.5,10.0,0.32,44.0,italië,bardolino
2,5.5,8.7,13.1,4.7,8.0,0.29,37.0,italië,bardolino
3,6.5,11.1,15.9,5.4,11.0,0.35,34.0,italië,bardolino
4,10.6,15.2,19.8,5.6,12.0,0.4,47.0,italië,bardolino
5,15.4,18.4,22.4,6.6,17.0,0.56,74.0,italië,bardolino
6,20.8,24.4,28.0,6.4,12.0,0.41,63.0,italië,bardolino
7,22.8,26.4,29.8,6.9,12.0,0.4,42.0,italië,bardolino
8,23.3,26.4,29.5,7.5,12.0,0.4,51.0,italië,bardolino
9,20.4,23.2,25.9,6.1,12.0,0.41,58.0,italië,bardolino
10,15.2,17.9,20.9,5.8,13.0,0.41,63.0,italië,bardolino
11,7.7,10.8,15.0,6.3,12.0,0.39,56.0,italië,bardolino
12,4.7,7.2,10.0,5.8,11.0,0.36,50.0,italië,bardolino
1,7.3,10.1,13.6,16.8,17.0,0.54,30.0,italië,bari
2,7.7,10.9,14.6,17.1,11.0,0.37,30.0,italië,bari
3,9.0,12.2,15.4,16.5,16.0,0.5,37.0,italië,bari
4,12.1,14.6,18.1,14.0,14.0,0.48,26.0,italië,bari
5,16.5,19.4,22.5,13.2,11.0,0.34,13.0,italië,bari
6,21.0,24.0,27.1,13.6,7.0,0.23,5.0,italië,bari
7,23.7,27.2,30.6,13.6,4.0,0.14,0.0,italië,bari
8,23.5,26.9,30.3,13.6,8.0,0.25,2.0,italië,bari
9,20.2,24.1,27.1,14.8,13.0,0.43,5.0,italië,bari
10,15.7,19.0,22.7,14.7,10.0,0.31,15.0,italië,bari
11,12.3,15.5,19.0,15.0,16.0,0.52,38.0,italië,bari
12,8.7,11.6,15.2,16.0,12.0,0.39,21.0,italië,bari
1,1.0,4.2,8.1,7.0,12.0,0.38,28.0,italië,bologna
2,2.7,7.6,12.5,7.6,10.0,0.33,28.0,italië,bologna
