m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
3,3,4.6,11.0,16.7,9.7,2.0,0.18,3.0,italië,bologna
4,1,7.2,12.2,17.5,9.8,4.0,0.43,4.0,italië,bologna
4,2,7.8,13.5,19.1,9.4,5.0,0.5,7.0,italië,bologna
4,3,9.6,15.6,19.9,9.8,7.0,0.65,24.0,italië,bologna
5,1,11.6,16.7,21.2,9.1,6.0,0.63,16.0,italië,bologna
5,2,13.1,17.3,22.0,9.2,6.0,0.63,16.0,italië,bologna
5,3,15.0,19.8,25.4,9.2,7.0,0.62,9.0,italië,bologna
6,1,17.0,22.0,27.6,9.1,7.0,0.65,15.0,italië,bologna
6,2,18.3,23.7,29.3,9.1,3.0,0.33,2.0,italië,bologna
6,3,19.7,25.3,30.8,10.0,3.0,0.28,2.0,italië,bologna
7,1,19.5,26.0,31.8,9.6,5.0,0.45,5.0,italië,bologna
7,2,20.6,26.2,31.5,9.7,3.0,0.3,2.0,italië,bologna
7,3,22.0,27.6,33.4,9.3,3.0,0.3,1.0,italië,bologna
8,1,20.5,26.2,31.9,9.1,3.0,0.25,0.0,italië,bologna
8,2,20.5,26.0,32.0,8.6,4.0,0.35,12.0,italië,bologna
8,3,19.8,24.8,30.6,8.2,5.0,0.42,11.0,italië,bologna
9,1,17.3,22.8,28.5,8.6,4.0,0.35,3.0,italië,bologna
9,2,17.3,23.0,27.9,8.1,5.0,0.5,15.0,italië,bologna
9,3,13.6,19.0,24.7,8.4,5.0,0.5,6.0,italië,bologna
10,1,13.4,17.5,22.5,8.4,4.0,0.35,1.0,italië,bologna
10,2,11.9,15.2,20.5,7.6,3.0,0.28,10.0,italië,bologna
10,3,12.3,15.9,20.1,7.1,3.0,0.27,3.0,italië,bologna
11,1,9.0,12.3,15.8,7.1,6.0,0.55,10.0,italië,bologna
11,2,7.5,9.7,13.1,6.7,4.0,0.38,12.0,italië,bologna
11,3,4.5,7.8,11.3,7.7,6.0,0.57,9.0,italië,bologna
12,1,2.7,5.4,9.0,8.3,7.0,0.69,19.0,italië,bologna
12,2,1.6,4.3,7.5,6.4,3.0,0.28,4.0,italië,bologna
12,3,3.1,6.0,10.0,6.5,3.0,0.27,2.0,italië,bologna
1,1,7.0,11.1,14.3,17.4,4.0,0.39,18.0,italië,brindisi
1,2,7.3,10.6,13.3,19.0,3.0,0.34,4.0,italië,brindisi
1,3,7.0,10.5,13.8,16.7,4.0,0.41,17.0,italië,brindisi
2,1,7.0,11.2,14.8,16.3,2.0,0.24,4.0,italië,brindisi
2,2,7.1,10.7,14.2,16.0,3.0,0.29,8.0,italië,brindisi
2,3,8.5,11.5,14.7,17.2,4.0,0.39,12.0,italië,brindisi
3,1,7.8,12.1,15.5,16.2,3.0,0.32,8.0,italië,brindisi
3,2,8.5,11.7,15.5,17.6,3.0,0.3,6.0,italië,brindisi
3,3,8.8,11.9,16.0,17.6,4.0,0.35,13.0,italië,brindisi
4,1,9.6,13.3,17.7,17.3,4.0,0.39,11.0,italië,brindisi
4,2,10.9,14.3,17.2,15.7,4.0,0.38,8.0,italië,brindisi
4,3,12.1,16.2,20.3,13.5,2.0,0.24,12.0,italië,brindisi
5,1,13.8,17.7,20.7,14.6,4.0,0.42,13.0,italië,brindisi
5,2,15.2,18.8,22.5,15.1,3.0,0.28,4.0,italië,brindisi
5,3,16.9,20.6,23.6,15.4,2.0,0.16,1.0,italië,brindisi
6,1,19.3,22.9,25.9,12.7,3.0,0.26,4.0,italië,brindisi
6,2,19.6,23.5,26.9,14.9,1.0,0.1,2.0,italië,brindisi
6,3,21.9,25.6,29.0,15.2,0.0,0.05,0.0,italië,brindisi
7,1,22.8,26.1,29.1,16.0,1.0,0.12,3.0,italië,brindisi
7,2,22.4,26.4,29.7,15.2,1.0,0.08,0.0,italië,brindisi
7,3,23.4,27.3,30.6,15.8,0.0,0.03,0.0,italië,brindisi
8,1,24.2,27.2,30.4,15.7,0.0,0.04,1.0,italië,brindisi
8,2,23.6,26.8,29.7,14.4,1.0,0.1,0.0,italië,brindisi
8,3,23.5,26.4,29.5,15.5,1.0,0.07,1.0,italië,brindisi
9,1,21.9,25.0,28.1,15.0,2.0,0.2,1.0,italië,brindisi
9,2,20.5,24.2,27.6,15.6,2.0,0.25,11.0,italië,brindisi
9,3,18.9,21.9,25.8,17.2,2.0,0.16,9.0,italië,brindisi
10,1,16.9,20.7,24.0,14.3,2.0,0.23,10.0,italië,brindisi
10,2,15.9,18.9,21.7,13.7,4.0,0.4,13.0,italië,brindisi
10,3,14.9,18.7,21.9,13.8,4.0,0.4,3.0,italië,brindisi
11,1,14.6,17.9,20.6,13.0,3.0,0.35,7.0,italië,brindisi
11,2,12.2,15.7,19.1,15.9,5.0,0.5,19.0,italië,brindisi
11,3,10.7,13.7,17.3,15.5,5.0,0.54,22.0,italië,brindisi
12,1,9.7,12.8,15.7,14.5,6.0,0.57,30.0,italië,brindisi
12,2,8.8,12.1,14.6,16.9,4.0,0.37,12.0,italië,brindisi
12,3,8.0,11.3,14.4,17.0,4.0,0.37,8.0,italië,brindisi
1,1,3.4,5.4,7.8,4.1,0.0,,0.0,italië,cannobio
1,2,2.3,4.4,7.3,3.8,0.0,,0.0,italië,cannobio
1,3,2.5,4.8,8.0,4.2,0.0,,0.0,italië,cannobio
2,1,4.4,6.5,9.1,4.2,0.0,,0.0,italië,cannobio
2,2,4.6,7.3,10.6,4.2,0.0,,0.0,italië,cannobio
2,3,5.9,8.9,12.5,4.3,0.0,,0.0,italië,cannobio
3,1,5.0,8.1,11.9,4.9,0.0,,0.0,italië,cannobio
3,2,6.4,10.3,14.1,5.9,0.0,,0.0,italië,cannobio
3,3,7.4,11.1,15.8,5.6,0.0,,0.0,italië,cannobio
4,1,7.8,11.6,16.1,6.5,0.0,,0.0,italië,cannobio
4,2,9.6,13.4,17.8,6.6,0.0,,0.0,italië,cannobio
4,3,9.4,13.3,17.0,5.5,0.0,,0.0,italië,cannobio
5,1,11.5,14.9,18.8,5.5,0.0,,0.0,italië,cannobio
5,2,12.6,15.7,19.5,5.6,0.0,,0.0,italië,cannobio
5,3,14.0,18.0,21.8,5.4,0.0,,0.0,italië,cannobio
6,1,15.7,19.1,23.1,5.5,0.0,,0.0,italië,cannobio
6,2,18.1,22.0,26.2,5.9,0.0,,0.0,italië,cannobio
6,3,18.4,22.5,27.1,5.7,0.0,,0.0,italië,cannobio
7,1,19.0,23.2,27.9,5.7,0.0,,0.0,italië,cannobio
7,2,19.5,23.7,28.4,5.7,0.0,,0.0,italië,cannobio
7,3,20.7,24.5,29.1,5.4,0.0,,0.0,italië,cannobio
8,1,19.6,23.6,28.4,5.3,0.0,,0.0,italië,cannobio
8,2,19.3,23.5,28.0,5.0,0.0,,0.0,italië,cannobio
