m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,2.7,8.7,15.2,12.0,4.0,0.13,8.0
2,5.1,10.5,16.7,11.0,4.0,0.12,5.0
3,6.9,12.4,18.2,13.3,8.0,0.25,12.0
4,9.3,14.6,20.1,11.8,9.0,0.3,28.0
5,12.7,18.2,24.0,11.0,7.0,0.22,26.0
6,17.0,22.7,28.2,10.3,6.0,0.19,20.0
7,20.7,25.8,31.5,10.4,4.0,0.14,4.0
8,20.8,26.2,32.2,10.6,5.0,0.16,8.0
9,17.8,23.0,28.5,10.7,7.0,0.23,33.0
10,13.1,19.0,24.0,10.6,6.0,0.2,27.0
11,8.5,13.9,18.8,12.4,7.0,0.23,21.0
12,5.3,11.0,16.3,12.1,3.0,0.11,7.0
