m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,10.4,14.9,20.0,7.1,2.0,0.05,0.0
2,10.7,15.5,20.2,9.1,2.0,0.06,0.0
3,13.9,19.0,24.2,10.3,1.0,0.05,0.0
4,18.8,24.8,31.0,10.3,0.0,0.01,0.0
5,22.3,28.9,34.8,11.1,0.0,0.0,0.0
6,25.2,32.3,38.2,11.3,0.0,0.0,0.0
7,26.7,33.3,38.8,10.5,0.0,0.0,0.0
8,26.8,32.9,38.4,10.7,0.0,0.0,0.0
9,25.1,31.0,36.8,9.9,0.0,0.0,0.0
10,20.8,26.5,32.8,8.1,0.0,0.0,0.0
11,16.2,20.5,25.9,7.2,1.0,0.03,0.0
12,11.9,17.0,22.4,6.5,1.0,0.03,0.0
