m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,15.6,17.5,18.5,20.5,16.0,0.5,43.0
2,15.1,17.5,18.3,20.8,14.0,0.5,34.0
3,15.4,17.8,18.6,19.4,15.0,0.49,60.0
4,15.8,18.5,19.9,17.9,13.0,0.42,30.0
5,17.4,19.9,21.6,19.1,9.0,0.3,9.0
6,18.6,21.0,22.5,16.8,10.0,0.33,37.0
7,20.3,22.8,24.7,17.9,5.0,0.15,1.0
8,21.4,23.8,26.1,20.7,5.0,0.15,3.0
9,21.0,23.4,24.9,16.7,14.0,0.45,14.0
10,20.0,22.3,23.8,18.2,13.0,0.42,29.0
11,18.0,20.3,21.4,17.8,14.0,0.47,76.0
12,16.6,18.9,19.5,21.0,19.0,0.6,64.0
