m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,14.8,16.0,17.3,18.3,25.0,0.79,105.0
2,13.9,15.6,17.2,18.4,22.0,0.76,103.0
3,13.8,15.4,17.3,17.7,22.0,0.71,80.0
4,14.6,16.2,18.2,17.3,21.0,0.7,77.0
5,15.7,17.7,19.9,13.8,23.0,0.75,57.0
6,17.5,19.7,21.9,13.1,20.0,0.65,58.0
7,19.6,21.8,23.9,11.4,21.0,0.69,29.0
8,21.1,23.3,25.5,11.1,19.0,0.61,44.0
9,20.5,22.4,24.7,14.1,20.0,0.65,57.0
10,18.6,20.4,21.8,17.2,23.0,0.75,112.0
11,16.8,18.1,19.8,17.3,23.0,0.78,117.0
12,15.0,16.3,18.0,19.1,23.0,0.74,134.0
