m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,6.7,10.8,14.9,9.1,15.0,0.49,72.0
2,6.7,10.9,15.2,8.8,10.0,0.34,35.0
3,8.8,13.7,17.8,8.8,12.0,0.39,31.0
4,12.9,17.4,21.8,8.2,13.0,0.44,11.0
5,16.7,20.8,24.6,6.2,9.0,0.28,3.0
6,21.4,25.3,29.4,6.3,7.0,0.23,5.0
7,24.3,29.1,33.2,7.3,1.0,0.03,0.0
8,24.2,27.7,31.6,5.5,3.0,0.1,1.0
9,20.3,25.0,28.8,6.5,5.0,0.18,1.0
10,14.4,20.0,24.3,5.9,4.0,0.14,1.0
11,12.9,16.8,20.4,6.8,14.0,0.46,79.0
12,9.8,13.0,16.9,8.3,15.0,0.5,85.0
