m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,24.8,26.9,29.6,22.6,22.0,0.71,27.0
2,24.7,26.9,29.8,24.3,17.0,0.57,25.0
3,25.1,27.1,29.9,25.6,13.0,0.4,14.0
4,26.1,27.8,30.6,26.8,12.0,0.38,13.0
5,26.8,28.3,30.9,29.4,12.0,0.38,19.0
6,27.1,28.9,31.6,27.3,20.0,0.66,57.0
7,27.0,28.8,31.6,26.5,22.0,0.72,29.0
8,27.4,29.5,32.2,23.5,19.0,0.62,32.0
9,27.4,29.9,32.8,20.3,19.0,0.63,32.0
10,27.0,29.4,32.0,19.5,25.0,0.82,82.0
11,25.9,28.2,30.9,18.2,28.0,0.92,133.0
12,25.3,27.5,30.1,20.7,26.0,0.83,37.0
