m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,7.0,10.8,13.7,17.6,12.0,0.38,40.0
2,7.3,11.2,14.3,16.6,9.0,0.3,24.0
3,8.4,11.9,15.7,17.0,10.0,0.32,26.0
4,10.9,14.3,18.4,15.5,10.0,0.34,31.0
5,15.2,18.8,22.6,14.7,9.0,0.28,17.0
6,20.1,23.5,27.3,14.0,4.0,0.14,6.0
7,22.8,26.5,29.9,15.8,2.0,0.07,3.0
8,23.6,26.6,29.8,15.1,2.0,0.07,2.0
9,20.5,24.2,27.3,15.8,6.0,0.2,21.0
10,15.9,19.0,22.2,13.8,11.0,0.34,26.0
11,12.2,15.7,19.1,15.5,14.0,0.46,48.0
12,8.5,12.1,15.0,15.9,13.0,0.43,49.0
