m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,4.6,10.4,17.2,9.4,11.0,0.35,30.0
2,5.6,12.4,19.7,10.0,8.0,0.26,7.0
3,7.7,14.4,21.3,12.0,12.0,0.38,66.0
4,9.8,16.4,23.1,11.4,9.0,0.31,34.0
5,12.6,19.9,28.7,11.1,4.0,0.12,4.0
6,14.7,22.4,30.4,11.2,3.0,0.1,2.0
7,17.4,25.9,34.8,10.4,1.0,0.02,0.0
8,18.1,26.1,35.6,10.2,1.0,0.02,0.0
9,16.5,23.5,31.4,10.1,4.0,0.13,7.0
10,13.2,19.5,26.7,9.6,9.0,0.29,61.0
11,9.5,14.8,21.5,9.4,12.0,0.4,55.0
12,6.5,12.1,18.8,8.7,11.0,0.35,23.0
