m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,6.9,10.1,14.3,10.7,20.0,0.64,113.0
2,7.5,11.1,15.5,11.7,13.0,0.46,35.0
3,8.9,12.8,17.0,11.8,16.0,0.52,38.0
4,11.4,15.7,20.0,11.3,14.0,0.48,20.0
5,15.0,19.9,24.5,10.8,12.0,0.38,8.0
6,19.7,24.0,28.5,11.1,6.0,0.21,2.0
7,21.8,26.9,31.9,11.6,4.0,0.13,0.0
8,22.3,27.4,33.0,11.1,8.0,0.27,2.0
9,19.4,24.3,29.6,11.6,12.0,0.39,8.0
10,16.0,20.2,24.6,9.9,11.0,0.35,36.0
11,12.4,15.9,19.9,11.6,18.0,0.61,117.0
12,8.5,11.8,16.0,9.9,18.0,0.57,127.0
