m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,7.3,10.1,13.4,16.3,16.0,0.53,29.0
2,7.5,10.8,14.6,16.9,10.0,0.35,22.0
3,9.1,12.3,15.6,16.5,16.0,0.52,35.0
4,12.1,14.6,18.1,14.0,14.0,0.48,26.0
5,16.5,19.4,22.5,13.2,11.0,0.34,13.0
6,21.0,24.0,27.1,13.6,7.0,0.23,5.0
7,23.7,27.2,30.6,13.6,4.0,0.14,0.0
8,23.5,26.9,30.3,13.6,8.0,0.25,2.0
9,20.2,24.1,27.1,14.8,13.0,0.43,5.0
10,15.7,19.0,22.7,14.7,10.0,0.31,15.0
11,12.3,15.5,19.0,15.0,16.0,0.52,38.0
12,8.7,11.6,15.2,16.0,12.0,0.39,21.0
