m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,6.4,8.2,10.3,15.5,16.0,0.53,79.0
2,7.7,9.5,11.4,12.8,14.0,0.5,62.0
3,7.6,9.9,12.0,13.7,12.0,0.37,37.0
4,10.5,12.6,14.5,13.6,15.0,0.49,41.0
5,14.1,15.8,17.6,12.2,13.0,0.43,30.0
6,18.8,20.8,22.8,10.2,10.0,0.33,12.0
7,21.3,23.5,25.8,9.4,6.0,0.19,4.0
8,21.6,24.4,27.2,9.7,11.0,0.35,36.0
9,18.7,21.5,24.4,12.0,13.0,0.45,60.0
10,14.8,16.4,18.8,13.9,15.0,0.48,91.0
11,10.8,12.8,15.2,15.4,16.0,0.53,116.0
12,7.9,9.4,11.4,13.8,17.0,0.55,55.0
