m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,2.3,4.3,6.7,16.2,19.0,0.62,58.0
2,2.6,5.4,8.7,18.8,18.0,0.62,78.0
3,3.1,7.3,10.8,14.9,16.0,0.53,57.0
4,4.9,9.7,14.5,14.0,13.0,0.42,45.0
5,8.6,13.7,18.7,12.5,16.0,0.5,67.0
6,12.6,17.5,22.3,11.8,12.0,0.41,45.0
7,13.2,18.1,22.6,11.1,15.0,0.49,56.0
8,14.1,18.8,23.9,11.2,17.0,0.55,56.0
9,10.6,15.8,20.6,10.5,14.0,0.47,58.0
10,8.6,12.2,15.9,13.3,19.0,0.61,77.0
11,4.5,7.5,10.5,14.1,18.0,0.59,62.0
12,2.5,5.4,7.6,15.8,21.0,0.66,74.0
