m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,8.6,12.5,18.0,15.3,6.0,0.21,23.0
2,9.8,13.8,18.9,15.3,3.0,0.12,4.0
3,10.9,15.1,20.4,14.7,10.0,0.33,64.0
4,12.7,17.0,22.0,13.8,6.0,0.22,22.0
5,16.0,20.0,25.5,14.1,4.0,0.13,5.0
6,19.6,23.9,29.4,14.0,2.0,0.06,0.0
7,22.3,26.2,31.9,13.7,0.0,0.01,0.0
8,23.2,26.8,32.1,12.4,1.0,0.03,0.0
9,21.0,24.0,29.3,12.8,4.0,0.12,7.0
10,16.1,20.0,25.3,12.1,6.0,0.2,20.0
11,12.5,16.4,21.5,14.9,7.0,0.22,20.0
12,10.0,14.0,19.2,14.5,6.0,0.18,6.0
