m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,25.0,26.9,29.5,20.0,23.0,0.74,33.0
2,25.0,27.0,29.7,20.8,20.0,0.69,20.0
3,25.4,27.2,30.3,21.7,10.0,0.31,7.0
4,26.0,27.8,30.6,21.9,14.0,0.45,10.0
5,26.5,28.2,31.0,23.7,13.0,0.4,19.0
6,26.8,28.7,31.5,22.7,21.0,0.69,33.0
7,26.9,28.8,31.5,21.4,20.0,0.66,18.0
8,27.3,29.4,32.5,20.8,17.0,0.56,15.0
9,27.5,29.7,32.7,18.4,18.0,0.61,20.0
10,26.8,29.1,31.9,17.0,24.0,0.77,79.0
11,26.0,28.2,30.7,15.9,29.0,0.98,139.0
12,25.5,27.5,30.0,19.1,25.0,0.81,35.0
