m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,4.8,8.1,12.1,11.2,18.0,0.58,195.0
2,5.3,9.4,14.3,10.6,16.0,0.56,105.0
3,5.4,9.5,14.6,11.4,16.0,0.52,133.0
4,6.7,11.6,17.0,10.1,17.0,0.55,123.0
5,8.7,14.3,20.4,9.9,13.0,0.41,50.0
6,11.8,15.9,21.0,9.2,14.0,0.46,67.0
7,13.9,18.7,24.9,9.4,9.0,0.28,15.0
8,14.1,19.1,25.3,8.9,8.0,0.25,34.0
9,12.9,17.4,23.0,8.1,13.0,0.42,65.0
10,10.7,14.7,18.3,9.9,20.0,0.64,175.0
11,7.7,10.9,14.3,10.9,21.0,0.69,229.0
12,5.9,9.3,13.0,10.1,21.0,0.69,249.0
