m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,5.6,9.3,14.4,15.4,5.0,0.18,20.0
2,7.2,10.8,15.8,14.8,6.0,0.21,5.0
3,9.2,12.6,16.9,15.7,7.0,0.23,14.0
4,11.6,15.0,18.5,15.3,8.0,0.27,27.0
5,14.9,17.8,21.8,13.9,7.0,0.23,22.0
6,19.4,22.5,26.9,13.9,6.0,0.2,19.0
7,22.5,25.4,29.4,13.7,5.0,0.15,3.0
8,23.2,25.9,30.0,14.3,6.0,0.18,9.0
9,19.7,22.9,27.4,14.7,10.0,0.32,41.0
10,15.9,19.3,23.5,14.5,9.0,0.28,51.0
11,10.7,14.0,18.4,14.5,8.0,0.28,18.0
12,7.4,10.9,16.0,15.1,4.0,0.14,6.0
