m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct,country,place
1,0,25.6,26.7,26.2,79.0,19.8,0.07,nederlandse-antillen,bonaire
1,1,25.5,26.6,26.1,79.5,19.8,0.09,nederlandse-antillen,bonaire
1,2,25.2,26.5,25.9,80.5,19.8,0.06,nederlandse-antillen,bonaire
1,3,25.2,26.5,25.9,80.5,21.0,0.08,nederlandse-antillen,bonaire
1,4,25.0,26.5,25.7,80.5,19.8,0.12,nederlandse-antillen,bonaire
1,5,25.0,26.2,25.7,81.0,19.8,0.15,nederlandse-antillen,bonaire
1,6,25.0,26.2,25.6,81.5,18.3,0.16,nederlandse-antillen,bonaire
1,7,24.7,26.0,25.5,81.0,18.0,0.17,nederlandse-antillen,bonaire
1,8,24.7,26.1,25.4,81.5,18.0,0.22,nederlandse-antillen,bonaire
1,9,24.5,26.0,25.3,83.0,18.0,0.2,nederlandse-antillen,bonaire
1,10,24.5,26.0,25.4,82.0,19.2,0.24,nederlandse-antillen,bonaire
1,11,24.5,26.2,25.5,81.0,18.0,0.31,nederlandse-antillen,bonaire
1,12,26.0,27.1,26.6,77.5,21.6,0.28,nederlandse-antillen,bonaire
1,13,27.0,28.2,27.7,72.0,26.4,0.27,nederlandse-antillen,bonaire
1,14,28.0,29.0,28.5,69.5,27.0,0.22,nederlandse-antillen,bonaire
1,15,28.2,29.7,28.9,67.5,27.2,0.22,nederlandse-antillen,bonaire
1,16,28.6,30.0,29.3,66.5,27.2,0.3,nederlandse-antillen,bonaire
1,17,28.6,30.0,29.3,66.0,27.0,0.37,nederlandse-antillen,bonaire
1,18,28.7,30.0,29.1,66.0,27.0,0.32,nederlandse-antillen,bonaire
1,19,28.5,29.5,28.9,67.5,26.8,0.24,nederlandse-antillen,bonaire
1,20,27.7,29.0,28.4,69.0,25.2,0.17,nederlandse-antillen,bonaire
1,21,27.2,28.2,27.7,71.5,25.2,0.08,nederlandse-antillen,bonaire
1,22,26.5,27.2,26.9,75.0,23.4,0.06,nederlandse-antillen,bonaire
1,23,25.7,27.0,26.4,77.5,21.6,0.04,nederlandse-antillen,bonaire
2,0,25.7,26.7,26.2,77.5,23.4,0.04,nederlandse-antillen,bonaire
2,1,25.6,26.7,26.1,78.5,22.0,0.02,nederlandse-antillen,bonaire
2,2,25.5,26.6,26.0,78.5,22.6,0.04,nederlandse-antillen,bonaire
2,3,25.6,26.5,25.9,79.0,21.6,0.03,nederlandse-antillen,bonaire
2,4,25.5,26.5,25.9,79.0,21.6,0.11,nederlandse-antillen,bonaire
2,5,25.2,26.2,25.8,79.5,21.2,0.11,nederlandse-antillen,bonaire
2,6,25.0,26.2,25.7,80.0,21.6,0.13,nederlandse-antillen,bonaire
