m,coco,coco_pct,country,place
9,9.0,0.0,nederlandse-antillen,bonaire
9,17.0,0.002,nederlandse-antillen,bonaire
9,18.0,0.042,nederlandse-antillen,bonaire
9,25.0,0.001,nederlandse-antillen,bonaire
9,26.0,0.0,nederlandse-antillen,bonaire
9,27.0,0.0,nederlandse-antillen,bonaire
10,1.0,0.053,nederlandse-antillen,bonaire
10,2.0,0.58,nederlandse-antillen,bonaire
10,3.0,0.196,nederlandse-antillen,bonaire
10,4.0,0.036,nederlandse-antillen,bonaire
10,5.0,0.0,nederlandse-antillen,bonaire
10,7.0,0.01,nederlandse-antillen,bonaire
10,8.0,0.003,nederlandse-antillen,bonaire
10,9.0,0.002,nederlandse-antillen,bonaire
10,17.0,0.003,nederlandse-antillen,bonaire
10,18.0,0.116,nederlandse-antillen,bonaire
10,25.0,0.002,nederlandse-antillen,bonaire
10,26.0,0.0,nederlandse-antillen,bonaire
10,27.0,0.0,nederlandse-antillen,bonaire
11,1.0,0.049,nederlandse-antillen,bonaire
11,2.0,0.537,nederlandse-antillen,bonaire
11,3.0,0.194,nederlandse-antillen,bonaire
11,4.0,0.044,nederlandse-antillen,bonaire
11,5.0,0.0,nederlandse-antillen,bonaire
11,7.0,0.02,nederlandse-antillen,bonaire
11,8.0,0.009,nederlandse-antillen,bonaire
11,9.0,0.003,nederlandse-antillen,bonaire
11,17.0,0.006,nederlandse-antillen,bonaire
11,18.0,0.136,nederlandse-antillen,bonaire
11,25.0,0.001,nederlandse-antillen,bonaire
11,26.0,0.0,nederlandse-antillen,bonaire
11,27.0,0.0,nederlandse-antillen,bonaire
12,1.0,0.061,nederlandse-antillen,bonaire
12,2.0,0.618,nederlandse-antillen,bonaire
12,3.0,0.187,nederlandse-antillen,bonaire
12,4.0,0.04,nederlandse-antillen,bonaire
12,5.0,0.0,nederlandse-antillen,bonaire
12,7.0,0.015,nederlandse-antillen,bonaire
12,8.0,0.003,nederlandse-antillen,bonaire
12,9.0,0.0,nederlandse-antillen,bonaire
12,17.0,0.002,nederlandse-antillen,bonaire
12,18.0,0.075,nederlandse-antillen,bonaire
12,25.0,0.0,nederlandse-antillen,bonaire
12,26.0,0.0,nederlandse-antillen,bonaire
12,27.0,0.0,nederlandse-antillen,bonaire
1,1.0,0.025,nederlandse-antillen,curacao
1,2.0,0.865,nederlandse-antillen,curacao
