m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,2.7,7.1,11.7,11.7,8.0,0.26,30.0
2,3.4,8.3,13.5,11.3,6.0,0.21,5.0
3,5.5,10.7,15.6,10.4,10.0,0.31,26.0
4,9.0,14.2,20.0,9.9,8.0,0.28,21.0
5,14.0,19.8,25.4,10.6,9.0,0.3,28.0
6,19.0,24.2,30.2,10.6,9.0,0.29,38.0
7,21.9,27.5,33.2,12.0,4.0,0.13,2.0
8,21.5,27.1,33.0,10.9,4.0,0.14,3.0
9,17.5,23.2,28.7,10.5,5.0,0.18,18.0
10,13.0,17.3,23.0,8.7,4.0,0.13,4.0
11,9.4,13.0,17.2,9.5,9.0,0.3,20.0
12,5.8,8.6,12.5,10.9,11.0,0.36,47.0
