m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,6.4,10.5,15.2,10.2,16.0,0.51,89.0
2,8.3,11.6,16.2,9.1,15.0,0.51,71.0
3,8.8,12.3,16.2,11.1,17.0,0.54,108.0
4,10.6,13.8,17.7,11.0,14.0,0.46,85.0
5,12.7,16.2,20.3,11.5,11.0,0.35,21.0
6,14.3,17.6,21.3,10.1,13.0,0.43,32.0
7,16.1,19.8,24.7,9.4,6.0,0.18,2.0
8,16.2,19.9,24.6,9.7,4.0,0.12,3.0
9,15.7,19.4,24.0,9.0,13.0,0.42,52.0
10,13.9,16.7,20.6,9.8,18.0,0.6,200.0
11,10.6,13.2,15.9,9.8,20.0,0.68,156.0
12,8.2,11.1,15.3,10.2,18.0,0.58,113.0
