m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,6.5,11.3,17.3,13.3,5.0,0.15,3.0
2,7.9,12.8,18.3,14.9,4.0,0.13,2.0
3,9.9,14.4,19.5,17.0,7.0,0.23,21.0
4,12.3,16.4,21.0,15.9,6.0,0.21,19.0
5,15.2,19.8,24.3,14.9,5.0,0.16,33.0
6,19.0,23.8,27.9,14.2,3.0,0.1,4.0
7,23.2,26.7,31.0,13.9,1.0,0.03,0.0
8,23.3,27.3,31.5,13.4,2.0,0.06,2.0
9,20.9,24.8,29.2,13.5,6.0,0.2,6.0
10,15.9,20.4,25.7,12.5,5.0,0.16,8.0
11,11.5,16.0,21.2,13.5,5.0,0.18,13.0
12,8.3,12.9,18.6,12.1,4.0,0.11,4.0
