m,m3,coco,coco_pct,country,place
4,3,7.0,0.085,spanje,alicante
4,3,8.0,0.027,spanje,alicante
4,3,9.0,0.002,spanje,alicante
4,3,17.0,0.008,spanje,alicante
4,3,18.0,0.007,spanje,alicante
4,3,23.0,0.0,spanje,alicante
4,3,25.0,0.004,spanje,alicante
4,3,26.0,0.0,spanje,alicante
4,3,27.0,0.0,spanje,alicante
5,1,1.0,0.301,spanje,alicante
5,1,2.0,0.411,spanje,alicante
5,1,3.0,0.217,spanje,alicante
5,1,4.0,0.013,spanje,alicante
5,1,5.0,0.009,spanje,alicante
5,1,7.0,0.028,spanje,alicante
5,1,8.0,0.009,spanje,alicante
5,1,9.0,0.005,spanje,alicante
5,1,17.0,0.002,spanje,alicante
5,1,18.0,0.003,spanje,alicante
5,1,23.0,0.0,spanje,alicante
5,1,25.0,0.001,spanje,alicante
5,1,26.0,0.001,spanje,alicante
5,1,27.0,0.0,spanje,alicante
5,2,1.0,0.407,spanje,alicante
5,2,2.0,0.358,spanje,alicante
5,2,3.0,0.169,spanje,alicante
5,2,4.0,0.012,spanje,alicante
5,2,5.0,0.006,spanje,alicante
5,2,7.0,0.022,spanje,alicante
5,2,8.0,0.007,spanje,alicante
5,2,9.0,0.001,spanje,alicante
5,2,17.0,0.011,spanje,alicante
5,2,18.0,0.003,spanje,alicante
5,2,23.0,0.0,spanje,alicante
5,2,25.0,0.003,spanje,alicante
5,2,26.0,0.0,spanje,alicante
5,2,27.0,0.0,spanje,alicante
5,3,1.0,0.376,spanje,alicante
5,3,2.0,0.365,spanje,alicante
5,3,3.0,0.172,spanje,alicante
5,3,4.0,0.006,spanje,alicante
5,3,5.0,0.004,spanje,alicante
5,3,7.0,0.027,spanje,alicante
5,3,8.0,0.019,spanje,alicante
5,3,9.0,0.022,spanje,alicante
5,3,17.0,0.008,spanje,alicante
5,3,18.0,0.001,spanje,alicante
5,3,23.0,0.0,spanje,alicante
5,3,25.0,0.0,spanje,alicante
5,3,26.0,0.0,spanje,alicante
5,3,27.0,0.0,spanje,alicante
6,1,1.0,0.352,spanje,alicante
6,1,2.0,0.348,spanje,alicante
6,1,3.0,0.215,spanje,alicante
6,1,4.0,0.015,spanje,alicante
6,1,5.0,0.006,spanje,alicante
6,1,7.0,0.034,spanje,alicante
6,1,8.0,0.007,spanje,alicante
6,1,9.0,0.001,spanje,alicante
6,1,17.0,0.015,spanje,alicante
6,1,18.0,0.001,spanje,alicante
6,1,23.0,0.0,spanje,alicante
6,1,25.0,0.005,spanje,alicante
6,1,26.0,0.001,spanje,alicante
6,1,27.0,0.0,spanje,alicante
6,2,1.0,0.459,spanje,alicante
6,2,2.0,0.289,spanje,alicante
6,2,3.0,0.218,spanje,alicante
6,2,4.0,0.011,spanje,alicante
6,2,5.0,0.0,spanje,alicante
6,2,7.0,0.007,spanje,alicante
6,2,8.0,0.004,spanje,alicante
6,2,9.0,0.001,spanje,alicante
6,2,17.0,0.01,spanje,alicante
6,2,18.0,0.001,spanje,alicante
6,2,23.0,0.0,spanje,alicante
6,2,25.0,0.001,spanje,alicante
6,2,26.0,0.0,spanje,alicante
6,2,27.0,0.0,spanje,alicante
6,3,1.0,0.702,spanje,alicante
6,3,2.0,0.192,spanje,alicante
6,3,3.0,0.095,spanje,alicante
6,3,4.0,0.002,spanje,alicante
6,3,5.0,0.002,spanje,alicante
6,3,7.0,0.001,spanje,alicante
6,3,8.0,0.001,spanje,alicante
6,3,9.0,0.0,spanje,alicante
6,3,17.0,0.003,spanje,alicante
6,3,18.0,0.0,spanje,alicante
6,3,23.0,0.0,spanje,alicante
6,3,25.0,0.001,spanje,alicante
6,3,26.0,0.0,spanje,alicante
6,3,27.0,0.0,spanje,alicante
7,1,1.0,0.651,spanje,alicante
7,1,2.0,0.221,spanje,alicante
7,1,3.0,0.108,spanje,alicante
7,1,4.0,0.009,spanje,alicante
7,1,5.0,0.005,spanje,alicante
7,1,7.0,0.002,spanje,alicante
7,1,8.0,0.0,spanje,alicante
7,1,9.0,0.0,spanje,alicante
7,1,17.0,0.004,spanje,alicante
7,1,18.0,0.0,spanje,alicante
7,1,23.0,0.0,spanje,alicante
7,1,25.0,0.0,spanje,alicante
7,1,26.0,0.0,spanje,alicante
7,1,27.0,0.0,spanje,alicante
7,2,1.0,0.697,spanje,alicante
7,2,2.0,0.222,spanje,alicante
7,2,3.0,0.065,spanje,alicante
7,2,4.0,0.005,spanje,alicante
7,2,5.0,0.001,spanje,alicante
7,2,7.0,0.001,spanje,alicante
7,2,8.0,0.002,spanje,alicante
7,2,9.0,0.0,spanje,alicante
7,2,17.0,0.002,spanje,alicante
7,2,18.0,0.0,spanje,alicante
7,2,23.0,0.0,spanje,alicante
7,2,25.0,0.004,spanje,alicante
7,2,26.0,0.0,spanje,alicante
7,2,27.0,0.0,spanje,alicante
7,3,1.0,0.69,spanje,alicante
7,3,2.0,0.212,spanje,alicante
7,3,3.0,0.081,spanje,alicante
7,3,4.0,0.004,spanje,alicante
7,3,5.0,0.003,spanje,alicante
7,3,7.0,0.001,spanje,alicante
7,3,8.0,0.0,spanje,alicante
7,3,9.0,0.0,spanje,alicante
7,3,17.0,0.003,spanje,alicante
7,3,18.0,0.004,spanje,alicante
7,3,23.0,0.0,spanje,alicante
7,3,25.0,0.001,spanje,alicante
7,3,26.0,0.0,spanje,alicante
7,3,27.0,0.0,spanje,alicante
8,1,1.0,0.696,spanje,alicante
8,1,2.0,0.242,spanje,alicante
8,1,3.0,0.048,spanje,alicante
8,1,4.0,0.005,spanje,alicante
8,1,5.0,0.003,spanje,alicante
8,1,7.0,0.003,spanje,alicante
8,1,8.0,0.001,spanje,alicante
8,1,9.0,0.0,spanje,alicante
8,1,17.0,0.001,spanje,alicante
8,1,18.0,0.001,spanje,alicante
8,1,23.0,0.0,spanje,alicante
8,1,25.0,0.001,spanje,alicante
8,1,26.0,0.0,spanje,alicante
8,1,27.0,0.0,spanje,alicante
8,2,1.0,0.536,spanje,alicante
8,2,2.0,0.317,spanje,alicante
8,2,3.0,0.116,spanje,alicante
8,2,4.0,0.012,spanje,alicante
8,2,5.0,0.003,spanje,alicante
8,2,7.0,0.012,spanje,alicante
8,2,8.0,0.001,spanje,alicante
8,2,9.0,0.0,spanje,alicante
8,2,17.0,0.002,spanje,alicante
8,2,18.0,0.001,spanje,alicante
8,2,23.0,0.0,spanje,alicante
8,2,25.0,0.002,spanje,alicante
8,2,26.0,0.0,spanje,alicante
8,2,27.0,0.0,spanje,alicante
8,3,1.0,0.512,spanje,alicante
8,3,2.0,0.345,spanje,alicante
8,3,3.0,0.117,spanje,alicante
8,3,4.0,0.006,spanje,alicante
8,3,5.0,0.0,spanje,alicante
8,3,7.0,0.005,spanje,alicante
8,3,8.0,0.003,spanje,alicante
8,3,9.0,0.001,spanje,alicante
8,3,17.0,0.006,spanje,alicante
8,3,18.0,0.003,spanje,alicante
8,3,23.0,0.0,spanje,alicante
8,3,25.0,0.003,spanje,alicante
8,3,26.0,0.0,spanje,alicante
8,3,27.0,0.0,spanje,alicante
9,1,1.0,0.235,spanje,alicante
9,1,2.0,0.493,spanje,alicante
9,1,3.0,0.207,spanje,alicante
9,1,4.0,0.01,spanje,alicante
9,1,5.0,0.004,spanje,alicante
9,1,7.0,0.023,spanje,alicante
9,1,8.0,0.009,spanje,alicante
9,1,9.0,0.007,spanje,alicante
9,1,17.0,0.006,spanje,alicante
9,1,18.0,0.001,spanje,alicante
9,1,23.0,0.001,spanje,alicante
9,1,25.0,0.005,spanje,alicante
9,1,26.0,0.0,spanje,alicante
9,1,27.0,0.0,spanje,alicante
9,2,1.0,0.238,spanje,alicante
9,2,2.0,0.376,spanje,alicante
9,2,3.0,0.283,spanje,alicante
9,2,4.0,0.014,spanje,alicante
9,2,5.0,0.005,spanje,alicante
9,2,7.0,0.028,spanje,alicante
9,2,8.0,0.026,spanje,alicante
9,2,9.0,0.005,spanje,alicante
9,2,17.0,0.013,spanje,alicante
9,2,18.0,0.007,spanje,alicante
9,2,23.0,0.001,spanje,alicante
9,2,25.0,0.005,spanje,alicante
9,2,26.0,0.001,spanje,alicante
9,2,27.0,0.0,spanje,alicante
9,3,1.0,0.403,spanje,alicante
9,3,2.0,0.351,spanje,alicante
9,3,3.0,0.201,spanje,alicante
9,3,4.0,0.014,spanje,alicante
9,3,5.0,0.001,spanje,alicante
9,3,7.0,0.012,spanje,alicante
9,3,8.0,0.009,spanje,alicante
9,3,9.0,0.004,spanje,alicante
9,3,17.0,0.005,spanje,alicante
9,3,18.0,0.002,spanje,alicante
9,3,23.0,0.0,spanje,alicante
9,3,25.0,0.0,spanje,alicante
9,3,26.0,0.0,spanje,alicante
9,3,27.0,0.0,spanje,alicante
10,1,1.0,0.411,spanje,alicante
10,1,2.0,0.353,spanje,alicante
10,1,3.0,0.204,spanje,alicante
10,1,4.0,0.007,spanje,alicante
10,1,5.0,0.005,spanje,alicante
10,1,7.0,0.007,spanje,alicante
10,1,8.0,0.003,spanje,alicante
10,1,9.0,0.004,spanje,alicante
10,1,17.0,0.004,spanje,alicante
10,1,18.0,0.0,spanje,alicante
10,1,23.0,0.0,spanje,alicante
10,1,25.0,0.003,spanje,alicante
10,1,26.0,0.0,spanje,alicante
10,1,27.0,0.0,spanje,alicante
10,2,1.0,0.36,spanje,alicante
10,2,2.0,0.344,spanje,alicante
10,2,3.0,0.232,spanje,alicante
10,2,4.0,0.013,spanje,alicante
10,2,5.0,0.005,spanje,alicante
10,2,7.0,0.021,spanje,alicante
10,2,8.0,0.006,spanje,alicante
10,2,9.0,0.007,spanje,alicante
10,2,17.0,0.01,spanje,alicante
10,2,18.0,0.001,spanje,alicante
10,2,23.0,0.0,spanje,alicante
10,2,25.0,0.002,spanje,alicante
10,2,26.0,0.0,spanje,alicante
10,2,27.0,0.0,spanje,alicante
10,3,1.0,0.259,spanje,alicante
10,3,2.0,0.304,spanje,alicante
10,3,3.0,0.327,spanje,alicante
10,3,4.0,0.021,spanje,alicante
10,3,5.0,0.008,spanje,alicante
10,3,7.0,0.053,spanje,alicante
