m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
1,7.5,11.3,17.2,15.1,4.0,0.14,4.0,spanje,alicante
2,7.9,12.5,18.5,14.4,4.0,0.12,2.0,spanje,alicante
3,9.9,14.4,19.5,15.7,9.0,0.29,38.0,spanje,alicante
4,12.1,16.6,21.3,13.6,8.0,0.27,31.0,spanje,alicante
5,15.2,20.0,24.8,12.5,5.0,0.17,23.0,spanje,alicante
6,19.5,24.2,28.7,11.6,3.0,0.11,1.0,spanje,alicante
7,22.3,27.0,31.8,12.1,1.0,0.02,0.0,spanje,alicante
8,22.9,27.3,32.0,10.9,2.0,0.07,1.0,spanje,alicante
9,20.2,24.1,28.9,12.0,7.0,0.24,24.0,spanje,alicante
10,15.5,20.4,25.5,11.4,5.0,0.15,33.0,spanje,alicante
11,11.8,15.8,21.1,14.1,6.0,0.2,12.0,spanje,alicante
12,9.0,13.1,18.8,12.1,4.0,0.12,2.0,spanje,alicante
1,9.0,12.8,17.7,14.3,4.0,0.13,4.0,spanje,almeria
2,9.8,13.9,18.7,15.2,3.0,0.1,1.0,spanje,almeria
3,11.4,15.2,20.0,16.8,8.0,0.26,17.0,spanje,almeria
4,13.2,17.3,21.6,16.5,6.0,0.19,9.0,spanje,almeria
5,16.0,20.3,24.8,14.2,3.0,0.1,3.0,spanje,almeria
6,19.4,22.9,27.9,14.6,2.0,0.06,1.0,spanje,almeria
7,23.0,26.7,31.2,12.6,0.0,0.0,0.0,spanje,almeria
8,23.8,27.3,32.1,12.9,1.0,0.02,0.0,spanje,almeria
9,21.5,25.1,29.7,13.9,3.0,0.11,1.0,spanje,almeria
10,16.6,21.0,25.5,13.8,4.0,0.12,11.0,spanje,almeria
11,12.9,16.8,21.0,13.4,4.0,0.13,3.0,spanje,almeria
12,10.3,14.0,18.7,13.6,3.0,0.09,2.0,spanje,almeria
1,2.0,7.4,14.0,7.6,7.0,0.22,29.0,spanje,barcelona
2,4.7,9.7,16.0,7.3,8.0,0.27,17.0,spanje,barcelona
3,7.5,12.0,17.0,9.1,10.0,0.33,25.0,spanje,barcelona
4,9.0,14.5,19.3,8.7,12.0,0.41,60.0,spanje,barcelona
5,12.5,17.7,23.5,8.8,12.0,0.39,36.0,spanje,barcelona
6,17.3,23.6,28.5,9.1,10.0,0.35,29.0,spanje,barcelona
7,20.0,25.9,31.0,9.5,8.0,0.24,10.0,spanje,barcelona
8,21.0,25.9,31.5,8.9,10.0,0.31,17.0,spanje,barcelona
9,17.3,22.1,27.0,7.9,14.0,0.45,46.0,spanje,barcelona
10,13.0,18.2,23.0,6.9,11.0,0.36,51.0,spanje,barcelona
11,8.0,12.6,18.0,7.0,11.0,0.38,29.0,spanje,barcelona
12,4.5,9.3,15.0,7.1,6.0,0.18,8.0,spanje,barcelona
1,8.6,12.5,18.0,15.3,6.0,0.21,23.0,spanje,benalmadena
2,9.8,13.8,18.9,15.3,3.0,0.12,4.0,spanje,benalmadena
3,10.9,15.1,20.4,14.7,10.0,0.33,64.0,spanje,benalmadena
4,12.7,17.0,22.0,13.8,6.0,0.22,22.0,spanje,benalmadena
5,16.0,20.0,25.5,14.1,4.0,0.13,5.0,spanje,benalmadena
6,19.6,23.9,29.4,14.0,2.0,0.06,0.0,spanje,benalmadena
7,22.3,26.2,31.9,13.7,0.0,0.01,0.0,spanje,benalmadena
8,23.2,26.8,32.1,12.4,1.0,0.03,0.0,spanje,benalmadena
9,21.0,24.0,29.3,12.8,4.0,0.12,7.0,spanje,benalmadena
10,16.1,20.0,25.3,12.1,6.0,0.2,20.0,spanje,benalmadena
11,12.5,16.4,21.5,14.9,7.0,0.22,20.0,spanje,benalmadena
12,10.0,14.0,19.2,14.5,6.0,0.18,6.0,spanje,benalmadena
1,5.3,9.2,14.0,10.6,19.0,0.6,122.0,spanje,bilbao
2,5.9,10.8,15.7,10.6,14.0,0.49,79.0,spanje,bilbao
3,7.5,12.3,17.4,12.1,15.0,0.48,69.0,spanje,bilbao
4,8.9,13.6,18.7,11.0,15.0,0.49,61.0,spanje,bilbao
5,10.9,15.9,20.8,10.1,14.0,0.47,50.0,spanje,bilbao
6,14.9,19.2,24.0,9.1,15.0,0.5,68.0,spanje,bilbao
7,16.5,21.4,25.7,8.7,11.0,0.36,21.0,spanje,bilbao
8,16.9,21.6,26.7,8.4,12.0,0.39,40.0,spanje,bilbao
9,15.3,20.3,25.7,8.6,13.0,0.43,68.0,spanje,bilbao
10,12.5,17.1,22.9,9.6,14.0,0.46,97.0,spanje,bilbao
11,9.3,13.2,17.4,10.4,18.0,0.61,169.0,spanje,bilbao
12,7.0,11.1,15.4,11.8,16.0,0.52,144.0,spanje,bilbao
1,0.6,6.9,14.7,6.2,5.0,0.16,13.0,spanje,blanes
2,2.5,8.6,16.5,7.2,6.0,0.2,12.0,spanje,blanes
3,4.8,10.8,17.5,9.7,10.0,0.31,27.0,spanje,blanes
4,6.5,13.1,20.4,10.3,11.0,0.36,46.0,spanje,blanes
5,10.4,16.6,24.0,9.0,12.0,0.38,78.0,spanje,blanes
6,15.1,22.0,29.8,9.4,9.0,0.3,32.0,spanje,blanes
7,18.2,24.7,32.8,10.0,6.0,0.18,13.0,spanje,blanes
8,18.6,24.8,33.0,9.6,6.0,0.2,20.0,spanje,blanes
9,15.7,21.2,28.4,8.4,10.0,0.32,49.0,spanje,blanes
10,11.3,17.1,24.3,8.4,10.0,0.34,51.0,spanje,blanes
11,7.0,13.0,18.2,8.0,10.0,0.35,21.0,spanje,blanes
12,2.8,8.4,15.8,5.4,5.0,0.17,11.0,spanje,blanes
1,4.6,10.4,17.2,9.4,11.0,0.35,30.0,spanje,cadiz
2,5.6,12.4,19.7,10.0,8.0,0.26,7.0,spanje,cadiz
3,7.7,14.4,21.3,12.0,12.0,0.38,66.0,spanje,cadiz
4,9.8,16.4,23.1,11.4,9.0,0.31,34.0,spanje,cadiz
5,12.6,19.9,28.7,11.1,4.0,0.12,4.0,spanje,cadiz
6,14.7,22.4,30.4,11.2,3.0,0.1,2.0,spanje,cadiz
7,17.4,25.9,34.8,10.4,1.0,0.02,0.0,spanje,cadiz
8,18.1,26.1,35.6,10.2,1.0,0.02,0.0,spanje,cadiz
9,16.5,23.5,31.4,10.1,4.0,0.13,7.0,spanje,cadiz
10,13.2,19.5,26.7,9.6,9.0,0.29,61.0,spanje,cadiz
11,9.5,14.8,21.5,9.4,12.0,0.4,55.0,spanje,cadiz
12,6.5,12.1,18.8,8.7,11.0,0.35,23.0,spanje,cadiz
1,0.6,6.9,14.7,6.2,5.0,0.16,13.0,spanje,calella
2,2.5,8.6,16.5,7.2,6.0,0.2,12.0,spanje,calella
3,4.8,10.8,17.5,9.7,10.0,0.31,27.0,spanje,calella
4,6.5,13.1,20.4,10.3,11.0,0.36,46.0,spanje,calella
5,10.4,16.6,24.0,9.0,12.0,0.38,78.0,spanje,calella
6,15.1,22.0,29.8,9.4,9.0,0.3,32.0,spanje,calella
7,18.2,24.7,32.8,10.0,6.0,0.18,13.0,spanje,calella
8,18.6,24.8,33.0,9.6,6.0,0.2,20.0,spanje,calella
9,15.7,21.2,28.4,8.4,10.0,0.32,49.0,spanje,calella
10,11.3,17.1,24.3,8.4,10.0,0.34,51.0,spanje,calella
11,7.0,13.0,18.2,8.0,10.0,0.35,21.0,spanje,calella
12,2.8,8.4,15.8,5.4,5.0,0.17,11.0,spanje,calella
1,2.7,8.7,15.2,12.0,4.0,0.13,8.0,spanje,cambrils
2,5.1,10.5,16.7,11.0,4.0,0.12,5.0,spanje,cambrils
3,6.9,12.4,18.2,13.3,8.0,0.25,12.0,spanje,cambrils
4,9.3,14.6,20.1,11.8,9.0,0.3,28.0,spanje,cambrils
5,12.7,18.2,24.0,11.0,7.0,0.22,26.0,spanje,cambrils
6,17.0,22.7,28.2,10.3,6.0,0.19,20.0,spanje,cambrils
7,20.7,25.8,31.5,10.4,4.0,0.14,4.0,spanje,cambrils
8,20.8,26.2,32.2,10.6,5.0,0.16,8.0,spanje,cambrils
9,17.8,23.0,28.5,10.7,7.0,0.23,33.0,spanje,cambrils
10,13.1,19.0,24.0,10.6,6.0,0.2,27.0,spanje,cambrils
11,8.5,13.9,18.8,12.4,7.0,0.23,21.0,spanje,cambrils
12,5.3,11.0,16.3,12.1,3.0,0.11,7.0,spanje,cambrils
1,3.3,8.0,15.7,8.1,8.0,0.25,36.0,spanje,cordoba
2,5.0,11.2,18.9,6.9,6.0,0.19,13.0,spanje,cordoba
3,7.2,13.3,21.5,9.4,11.0,0.37,69.0,spanje,cordoba
4,9.4,16.4,24.0,9.3,10.0,0.34,40.0,spanje,cordoba
5,12.8,20.5,30.1,9.0,5.0,0.16,5.0,spanje,cordoba
6,16.6,24.9,33.1,10.8,2.0,0.07,2.0,spanje,cordoba
7,19.6,29.2,38.2,10.8,0.0,0.0,0.0,spanje,cordoba
8,20.2,29.4,38.3,9.5,1.0,0.04,0.0,spanje,cordoba
9,17.7,24.4,32.3,8.1,4.0,0.14,12.0,spanje,cordoba
10,13.2,19.5,27.0,7.8,8.0,0.25,59.0,spanje,cordoba
11,8.3,13.3,20.0,7.1,11.0,0.35,46.0,spanje,cordoba
12,5.6,10.1,17.2,7.1,9.0,0.28,28.0,spanje,cordoba
1,7.7,11.3,17.2,14.5,4.0,0.14,4.0,spanje,finestrat
2,8.0,12.5,18.7,14.1,4.0,0.13,2.0,spanje,finestrat
3,9.6,14.4,19.2,15.4,9.0,0.3,38.0,spanje,finestrat
4,12.1,16.6,21.5,12.5,9.0,0.3,31.0,spanje,finestrat
5,15.2,20.0,24.9,12.5,6.0,0.18,23.0,spanje,finestrat
6,19.4,24.2,28.9,11.3,4.0,0.12,1.0,spanje,finestrat
7,22.3,27.0,31.7,11.8,1.0,0.03,0.0,spanje,finestrat
8,22.9,27.3,32.5,11.1,2.0,0.08,1.0,spanje,finestrat
9,20.2,24.1,29.5,11.5,7.0,0.25,24.0,spanje,finestrat
10,15.5,20.4,25.6,10.8,5.0,0.16,28.0,spanje,finestrat
11,12.0,15.8,22.0,13.7,6.0,0.18,12.0,spanje,finestrat
12,8.8,13.1,18.8,11.8,4.0,0.13,2.0,spanje,finestrat
1,8.6,12.5,18.0,15.3,6.0,0.21,23.0,spanje,fuengirola
2,9.8,13.8,18.9,15.3,3.0,0.12,4.0,spanje,fuengirola
3,10.9,15.1,20.4,14.7,10.0,0.33,64.0,spanje,fuengirola
4,12.7,17.0,22.0,13.8,6.0,0.22,22.0,spanje,fuengirola
5,16.0,20.0,25.5,14.1,4.0,0.13,5.0,spanje,fuengirola
6,19.6,23.9,29.4,14.0,2.0,0.06,0.0,spanje,fuengirola
7,22.3,26.2,31.9,13.7,0.0,0.01,0.0,spanje,fuengirola
8,23.2,26.8,32.1,12.4,1.0,0.03,0.0,spanje,fuengirola
9,21.0,24.0,29.3,12.8,4.0,0.12,7.0,spanje,fuengirola
10,16.1,20.0,25.3,12.1,6.0,0.2,20.0,spanje,fuengirola
11,12.5,16.4,21.5,14.9,7.0,0.22,20.0,spanje,fuengirola
12,10.0,14.0,19.2,14.5,6.0,0.18,6.0,spanje,fuengirola
1,15.4,18.3,21.1,17.4,3.0,0.09,2.0,spanje,fuerteventura
2,15.4,18.5,21.5,18.3,5.0,0.17,4.0,spanje,fuerteventura
3,15.9,19.0,22.3,20.4,3.0,0.11,2.0,spanje,fuerteventura
4,16.8,20.0,23.8,21.1,2.0,0.06,1.0,spanje,fuerteventura
5,18.1,21.1,24.6,24.0,0.0,0.01,0.0,spanje,fuerteventura
6,19.8,22.5,26.0,22.9,0.0,0.0,0.0,spanje,fuerteventura
7,21.3,23.7,27.1,26.6,0.0,0.01,0.0,spanje,fuerteventura
8,22.0,24.3,27.7,25.1,0.0,0.01,0.0,spanje,fuerteventura
9,21.7,24.0,26.9,20.1,1.0,0.05,0.0,spanje,fuerteventura
10,20.5,23.3,26.1,17.6,3.0,0.09,1.0,spanje,fuerteventura
11,18.4,21.2,24.2,17.1,4.0,0.14,2.0,spanje,fuerteventura
12,16.6,19.4,22.1,16.3,4.0,0.13,3.0,spanje,fuerteventura
1,0.6,6.9,14.7,6.2,5.0,0.16,13.0,spanje,girona
2,2.5,8.6,16.5,7.2,6.0,0.2,12.0,spanje,girona
3,4.8,10.8,17.5,9.7,10.0,0.31,27.0,spanje,girona
4,6.5,13.1,20.4,10.3,11.0,0.36,46.0,spanje,girona
5,10.4,16.6,24.0,9.0,12.0,0.38,78.0,spanje,girona
6,15.1,22.0,29.8,9.4,9.0,0.3,32.0,spanje,girona
7,18.2,24.7,32.8,10.0,6.0,0.18,13.0,spanje,girona
8,18.6,24.8,33.0,9.6,6.0,0.2,20.0,spanje,girona
9,15.7,21.2,28.4,8.4,10.0,0.32,49.0,spanje,girona
10,11.3,17.1,24.3,8.4,10.0,0.34,51.0,spanje,girona
11,7.0,13.0,18.2,8.0,10.0,0.35,21.0,spanje,girona
12,2.8,8.4,15.8,5.4,5.0,0.17,11.0,spanje,girona
1,15.8,18.6,21.3,17.5,6.0,0.21,7.0,spanje,gran-canaria
2,15.8,19.0,21.5,19.9,6.0,0.19,10.0,spanje,gran-canaria
3,16.2,19.0,22.1,24.9,5.0,0.17,4.0,spanje,gran-canaria
4,17.1,20.0,23.1,24.1,4.0,0.12,2.0,spanje,gran-canaria
5,18.3,21.1,24.2,30.2,1.0,0.03,0.0,spanje,gran-canaria
6,19.9,22.5,25.5,29.7,1.0,0.04,0.0,spanje,gran-canaria
7,21.4,24.0,27.0,38.6,0.0,0.0,0.0,spanje,gran-canaria
8,22.2,24.6,27.5,36.7,1.0,0.02,0.0,spanje,gran-canaria
9,21.9,24.4,27.2,27.3,2.0,0.08,1.0,spanje,gran-canaria
10,20.9,23.6,26.1,20.6,5.0,0.16,3.0,spanje,gran-canaria
11,18.9,21.7,24.2,20.1,4.0,0.15,3.0,spanje,gran-canaria
12,16.9,19.8,22.5,16.0,5.0,0.17,9.0,spanje,gran-canaria
1,6.3,10.9,16.0,8.5,4.0,0.11,6.0,spanje,guardamar
2,8.1,12.2,17.3,7.6,3.0,0.1,4.0,spanje,guardamar
3,9.6,13.7,18.3,7.8,7.0,0.24,31.0,spanje,guardamar
4,11.8,16.2,20.7,7.8,8.0,0.26,25.0,spanje,guardamar
5,15.0,20.0,24.8,7.6,6.0,0.2,15.0,spanje,guardamar
6,19.4,23.8,28.5,7.4,4.0,0.12,3.0,spanje,guardamar
7,22.5,27.0,31.5,7.4,3.0,0.1,2.0,spanje,guardamar
8,22.8,27.1,31.6,7.3,4.0,0.12,15.0,spanje,guardamar
