m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
1,1,7.1,10.8,17.2,14.0,1.0,0.07,0.0,spanje,alicante
1,2,6.1,10.9,16.7,15.0,2.0,0.17,3.0,spanje,alicante
1,3,8.2,12.9,18.0,17.2,1.0,0.12,1.0,spanje,alicante
2,1,8.0,12.5,18.5,14.5,2.0,0.16,1.0,spanje,alicante
2,2,8.7,12.9,18.1,12.2,1.0,0.09,1.0,spanje,alicante
2,3,7.9,13.3,19.1,14.8,1.0,0.08,0.0,spanje,alicante
3,1,9.8,14.0,19.4,17.0,3.0,0.3,4.0,spanje,alicante
3,2,10.1,15.2,20.8,15.3,2.0,0.22,5.0,spanje,alicante
3,3,10.0,14.4,19.1,16.1,4.0,0.35,27.0,spanje,alicante
4,1,10.6,15.5,20.7,13.6,2.0,0.19,4.0,spanje,alicante
4,2,12.3,16.7,21.0,13.8,3.0,0.27,10.0,spanje,alicante
4,3,13.2,17.8,22.3,12.8,4.0,0.36,17.0,spanje,alicante
5,1,14.2,19.0,23.5,11.4,2.0,0.19,2.0,spanje,alicante
5,2,15.0,19.7,24.6,12.6,2.0,0.16,2.0,spanje,alicante
5,3,16.1,21.2,25.3,11.6,2.0,0.17,20.0,spanje,alicante
6,1,17.5,22.5,26.9,11.4,2.0,0.17,1.0,spanje,alicante
6,2,19.5,24.2,28.7,12.0,1.0,0.14,1.0,spanje,alicante
6,3,20.0,25.2,29.9,11.6,0.0,0.03,0.0,spanje,alicante
7,1,21.7,26.4,30.6,12.1,0.0,0.03,0.0,spanje,alicante
7,2,22.4,27.2,31.9,11.9,0.0,0.0,0.0,spanje,alicante
7,3,22.8,27.7,32.2,12.0,0.0,0.04,0.0,spanje,alicante
8,1,23.1,27.9,32.8,10.9,0.0,0.04,0.0,spanje,alicante
8,2,22.9,27.5,31.7,10.4,1.0,0.07,1.0,spanje,alicante
8,3,22.2,27.0,31.6,11.1,1.0,0.09,1.0,spanje,alicante
9,1,21.3,25.6,29.9,11.4,2.0,0.16,6.0,spanje,alicante
9,2,20.2,24.0,28.4,12.6,3.0,0.34,16.0,spanje,alicante
9,3,19.1,23.5,28.5,12.2,2.0,0.22,2.0,spanje,alicante
10,1,17.2,21.7,27.3,10.9,1.0,0.09,1.0,spanje,alicante
10,2,15.5,20.5,25.7,11.6,1.0,0.14,7.0,spanje,alicante
10,3,13.8,19.1,24.3,12.6,2.0,0.22,26.0,spanje,alicante
11,1,12.9,16.8,22.7,14.3,2.0,0.17,2.0,spanje,alicante
11,2,12.1,15.9,21.6,13.4,3.0,0.26,3.0,spanje,alicante
