m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,9.6,12.4,15.0,11.8,19.0,0.63,80.0
2,9.3,12.7,16.1,10.5,11.0,0.36,82.0
3,10.1,13.5,17.0,10.2,18.0,0.58,85.0
4,12.3,15.2,19.0,11.2,13.0,0.43,111.0
5,15.5,19.8,23.0,9.6,19.0,0.63,92.0
6,19.6,24.0,28.2,10.3,9.0,0.3,8.0
7,22.5,27.0,31.8,11.1,3.0,0.11,0.0
8,23.2,27.5,31.5,9.9,8.0,0.26,2.0
9,20.9,24.7,29.2,10.1,13.0,0.45,18.0
10,17.1,20.6,24.5,9.5,8.0,0.26,1.0
11,14.7,17.6,20.5,11.6,20.0,0.66,147.0
12,11.4,14.1,17.0,11.0,17.0,0.56,150.0
