m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,8.2,11.3,14.8,7.3,8.0,0.27,46.0
2,8.4,12.1,16.8,7.8,9.0,0.3,25.0
3,10.0,13.4,18.4,7.9,6.0,0.21,15.0
4,12.3,16.6,21.5,7.3,4.0,0.15,7.0
5,17.0,21.5,27.0,6.3,4.0,0.12,1.0
6,21.5,25.9,31.7,6.7,4.0,0.14,10.0
7,24.9,29.5,34.8,8.6,1.0,0.02,0.0
8,25.1,29.2,34.3,8.1,1.0,0.05,0.0
9,21.7,25.6,30.1,8.0,3.0,0.09,3.0
10,17.2,20.5,25.5,7.0,3.0,0.1,4.0
11,13.8,16.5,20.5,7.2,7.0,0.23,26.0
12,9.9,13.1,16.5,6.8,9.0,0.28,42.0
