m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
1,1,24.4,27.4,31.0,6.6,10.0,1.0,97.0,indonesië,balikpapan
1,2,24.4,27.3,31.1,7.0,10.0,1.0,105.0,indonesië,balikpapan
1,3,24.1,27.1,30.7,7.2,11.0,1.0,129.0,indonesië,balikpapan
2,1,24.3,27.1,30.8,7.0,10.0,1.0,95.0,indonesië,balikpapan
2,2,24.4,27.3,31.3,7.7,10.0,1.0,96.0,indonesië,balikpapan
2,3,24.5,27.6,31.6,8.1,9.0,0.97,86.0,indonesië,balikpapan
3,1,24.5,27.6,31.0,7.6,10.0,0.98,112.0,indonesië,balikpapan
3,2,24.2,27.6,31.1,7.1,10.0,0.95,110.0,indonesië,balikpapan
3,3,24.3,27.1,30.8,6.7,11.0,1.0,122.0,indonesië,balikpapan
4,1,24.7,27.5,31.2,7.6,10.0,0.98,96.0,indonesië,balikpapan
4,2,24.9,27.9,31.2,6.3,10.0,0.98,57.0,indonesië,balikpapan
4,3,25.0,27.7,31.1,6.0,10.0,1.0,71.0,indonesië,balikpapan
5,1,25.1,28.0,31.2,5.9,10.0,1.0,93.0,indonesië,balikpapan
5,2,25.0,28.0,30.7,6.1,10.0,1.0,80.0,indonesië,balikpapan
5,3,25.0,27.8,30.7,6.9,11.0,0.95,61.0,indonesië,balikpapan
6,1,25.1,27.9,30.6,6.7,10.0,1.0,44.0,indonesië,balikpapan
6,2,24.6,27.4,29.9,5.7,10.0,1.0,66.0,indonesië,balikpapan
6,3,24.4,27.4,30.1,6.7,10.0,0.98,59.0,indonesië,balikpapan
7,1,24.4,27.1,29.7,7.0,10.0,1.0,86.0,indonesië,balikpapan
7,2,24.7,27.3,29.8,9.1,10.0,0.98,36.0,indonesië,balikpapan
7,3,24.9,27.6,30.1,9.6,11.0,1.0,31.0,indonesië,balikpapan
8,1,24.9,27.5,30.3,8.7,10.0,0.98,33.0,indonesië,balikpapan
8,2,24.8,27.5,30.4,7.5,10.0,0.95,44.0,indonesië,balikpapan
8,3,24.6,27.3,29.8,8.4,11.0,1.0,143.0,indonesië,balikpapan
9,1,24.9,27.5,30.4,8.2,10.0,0.97,56.0,indonesië,balikpapan
9,2,25.0,27.9,30.7,8.2,10.0,0.98,39.0,indonesië,balikpapan
9,3,25.1,28.2,31.0,7.2,9.0,0.9,36.0,indonesië,balikpapan
10,1,24.9,28.0,31.0,7.1,10.0,1.0,64.0,indonesië,balikpapan
10,2,24.7,27.8,30.9,7.0,10.0,1.0,43.0,indonesië,balikpapan
10,3,24.9,28.2,31.5,6.5,11.0,1.0,55.0,indonesië,balikpapan
11,1,24.5,27.8,31.1,5.7,10.0,1.0,66.0,indonesië,balikpapan
11,2,24.5,27.6,31.3,6.2,10.0,1.0,99.0,indonesië,balikpapan
11,3,24.4,27.5,31.0,6.3,10.0,1.0,123.0,indonesië,balikpapan
12,1,24.6,27.8,31.4,6.2,10.0,0.98,99.0,indonesië,balikpapan
12,2,24.5,27.2,30.8,6.2,10.0,1.0,103.0,indonesië,balikpapan
12,3,24.5,27.6,31.0,6.5,11.0,0.95,73.0,indonesië,balikpapan
1,1,19.2,22.4,27.7,7.4,10.0,0.98,47.0,indonesië,bandung
1,2,19.1,22.5,27.8,9.0,10.0,0.98,45.0,indonesië,bandung
1,3,19.0,22.2,27.3,9.6,11.0,0.96,52.0,indonesië,bandung
2,1,19.3,22.2,27.0,10.0,9.0,0.93,64.0,indonesië,bandung
2,2,19.3,22.3,27.1,7.3,10.0,1.0,76.0,indonesië,bandung
2,3,19.4,22.4,27.0,9.8,9.0,0.97,94.0,indonesië,bandung
3,1,19.3,22.5,27.9,8.0,10.0,1.0,50.0,indonesië,bandung
3,2,18.6,22.5,28.1,6.9,9.0,0.9,46.0,indonesië,bandung
3,3,18.8,22.7,28.4,6.3,11.0,0.95,64.0,indonesië,bandung
4,1,18.5,22.7,27.9,7.1,9.0,0.93,44.0,indonesië,bandung
4,2,18.7,22.7,28.1,5.9,10.0,1.0,64.0,indonesië,bandung
4,3,18.8,22.9,28.3,6.3,10.0,0.98,57.0,indonesië,bandung
