m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
8,21.9,27.3,33.8,7.5,19.0,0.6,62.0,indonesië,makassar
9,22.4,27.7,34.2,7.7,19.0,0.64,39.0,indonesië,makassar
10,23.0,27.9,34.2,7.3,25.0,0.79,87.0,indonesië,makassar
11,23.8,27.3,33.1,6.8,29.0,0.95,284.0,indonesië,makassar
12,24.0,26.5,30.8,6.7,30.0,0.96,468.0,indonesië,makassar
1,23.6,26.8,30.9,9.1,30.0,0.97,201.0,indonesië,medan
2,23.8,27.3,31.6,8.7,28.0,0.97,123.0,indonesië,medan
3,24.1,27.8,32.4,9.7,29.0,0.94,138.0,indonesië,medan
4,24.5,28.0,32.8,9.0,30.0,0.98,158.0,indonesië,medan
5,24.6,28.1,32.6,8.7,29.0,0.94,186.0,indonesië,medan
6,24.2,27.7,32.0,8.6,28.0,0.93,178.0,indonesië,medan
7,24.0,27.6,32.2,8.8,27.0,0.87,125.0,indonesië,medan
8,23.8,27.3,31.9,9.1,30.0,0.95,245.0,indonesië,medan
9,23.7,27.1,31.6,8.9,30.0,0.98,239.0,indonesië,medan
10,23.9,27.1,31.2,8.4,29.0,0.95,336.0,indonesië,medan
11,24.2,26.9,30.8,8.9,30.0,0.99,385.0,indonesië,medan
12,24.0,26.7,30.5,9.2,30.0,0.98,324.0,indonesië,medan
1,25.2,28.0,30.8,14.2,30.0,0.96,190.0,indonesië,sanur
2,25.2,28.3,31.1,11.7,28.0,0.97,171.0,indonesië,sanur
3,25.3,28.3,31.3,9.0,28.0,0.91,92.0,indonesië,sanur
4,25.4,28.5,31.1,8.9,28.0,0.93,138.0,indonesië,sanur
5,25.7,28.0,30.4,11.1,24.0,0.78,51.0,indonesië,sanur
6,24.9,27.4,29.8,12.5,25.0,0.85,63.0,indonesië,sanur
7,24.7,26.7,29.1,14.0,26.0,0.85,45.0,indonesië,sanur
8,24.4,26.6,29.2,13.3,24.0,0.79,29.0,indonesië,sanur
9,24.6,27.0,30.0,11.6,24.0,0.78,35.0,indonesië,sanur
