m,coco,coco_pct,country,place
1,1.0,0.0,indonesië,balikpapan
1,2.0,0.011,indonesië,balikpapan
1,3.0,0.482,indonesië,balikpapan
1,5.0,0.039,indonesië,balikpapan
1,7.0,0.139,indonesië,balikpapan
1,8.0,0.136,indonesië,balikpapan
1,9.0,0.131,indonesië,balikpapan
1,17.0,0.048,indonesië,balikpapan
1,18.0,0.008,indonesië,balikpapan
1,25.0,0.005,indonesië,balikpapan
1,26.0,0.001,indonesië,balikpapan
2,1.0,0.018,indonesië,balikpapan
2,2.0,0.029,indonesië,balikpapan
2,3.0,0.542,indonesië,balikpapan
2,5.0,0.017,indonesië,balikpapan
2,7.0,0.127,indonesië,balikpapan
2,8.0,0.089,indonesië,balikpapan
2,9.0,0.11,indonesië,balikpapan
2,17.0,0.043,indonesië,balikpapan
2,18.0,0.012,indonesië,balikpapan
2,25.0,0.012,indonesië,balikpapan
2,26.0,0.0,indonesië,balikpapan
3,1.0,0.01,indonesië,balikpapan
3,2.0,0.026,indonesië,balikpapan
3,3.0,0.464,indonesië,balikpapan
3,5.0,0.037,indonesië,balikpapan
3,7.0,0.122,indonesië,balikpapan
3,8.0,0.133,indonesië,balikpapan
3,9.0,0.124,indonesië,balikpapan
3,17.0,0.064,indonesië,balikpapan
3,18.0,0.009,indonesië,balikpapan
3,25.0,0.012,indonesië,balikpapan
3,26.0,0.0,indonesië,balikpapan
4,1.0,0.01,indonesië,balikpapan
4,2.0,0.032,indonesië,balikpapan
4,3.0,0.513,indonesië,balikpapan
4,5.0,0.05,indonesië,balikpapan
4,7.0,0.08,indonesië,balikpapan
4,8.0,0.108,indonesië,balikpapan
4,9.0,0.088,indonesië,balikpapan
4,17.0,0.089,indonesië,balikpapan
4,18.0,0.021,indonesië,balikpapan
4,25.0,0.008,indonesië,balikpapan
4,26.0,0.0,indonesië,balikpapan
5,1.0,0.008,indonesië,balikpapan
5,2.0,0.056,indonesië,balikpapan
5,3.0,0.487,indonesië,balikpapan
5,5.0,0.03,indonesië,balikpapan
5,7.0,0.129,indonesië,balikpapan
5,8.0,0.122,indonesië,balikpapan
5,9.0,0.079,indonesië,balikpapan
5,17.0,0.08,indonesië,balikpapan
5,18.0,0.006,indonesië,balikpapan
5,25.0,0.004,indonesië,balikpapan
5,26.0,0.0,indonesië,balikpapan
6,1.0,0.011,indonesië,balikpapan
6,2.0,0.066,indonesië,balikpapan
6,3.0,0.477,indonesië,balikpapan
6,5.0,0.026,indonesië,balikpapan
6,7.0,0.127,indonesië,balikpapan
6,8.0,0.132,indonesië,balikpapan
6,9.0,0.075,indonesië,balikpapan
6,17.0,0.071,indonesië,balikpapan
6,18.0,0.012,indonesië,balikpapan
6,25.0,0.003,indonesië,balikpapan
6,26.0,0.0,indonesië,balikpapan
7,1.0,0.012,indonesië,balikpapan
7,2.0,0.088,indonesië,balikpapan
7,3.0,0.495,indonesië,balikpapan
7,5.0,0.024,indonesië,balikpapan
7,7.0,0.115,indonesië,balikpapan
7,8.0,0.106,indonesië,balikpapan
7,9.0,0.054,indonesië,balikpapan
7,17.0,0.09,indonesië,balikpapan
7,18.0,0.007,indonesië,balikpapan
7,25.0,0.008,indonesië,balikpapan
7,26.0,0.0,indonesië,balikpapan
8,1.0,0.036,indonesië,balikpapan
8,2.0,0.125,indonesië,balikpapan
8,3.0,0.472,indonesië,balikpapan
8,5.0,0.014,indonesië,balikpapan
8,7.0,0.11,indonesië,balikpapan
8,8.0,0.085,indonesië,balikpapan
8,9.0,0.061,indonesië,balikpapan
8,17.0,0.085,indonesië,balikpapan
8,18.0,0.009,indonesië,balikpapan
8,25.0,0.003,indonesië,balikpapan
8,26.0,0.0,indonesië,balikpapan
9,1.0,0.038,indonesië,balikpapan
9,2.0,0.094,indonesië,balikpapan
9,3.0,0.584,indonesië,balikpapan
9,5.0,0.017,indonesië,balikpapan
9,7.0,0.091,indonesië,balikpapan
9,8.0,0.056,indonesië,balikpapan
9,9.0,0.051,indonesië,balikpapan
9,17.0,0.059,indonesië,balikpapan
9,18.0,0.004,indonesië,balikpapan
9,25.0,0.006,indonesië,balikpapan
9,26.0,0.0,indonesië,balikpapan
10,1.0,0.034,indonesië,balikpapan
10,2.0,0.081,indonesië,balikpapan
10,3.0,0.536,indonesië,balikpapan
10,5.0,0.031,indonesië,balikpapan
10,7.0,0.109,indonesië,balikpapan
10,8.0,0.086,indonesië,balikpapan
10,9.0,0.058,indonesië,balikpapan
10,17.0,0.054,indonesië,balikpapan
10,18.0,0.005,indonesië,balikpapan
10,25.0,0.005,indonesië,balikpapan
10,26.0,0.0,indonesië,balikpapan
11,1.0,0.006,indonesië,balikpapan
11,2.0,0.025,indonesië,balikpapan
