m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,7.7,11.3,17.2,14.5,4.0,0.14,4.0
2,8.0,12.5,18.7,14.1,4.0,0.13,2.0
3,9.6,14.4,19.2,15.4,9.0,0.3,38.0
4,12.1,16.6,21.5,12.5,9.0,0.3,31.0
5,15.2,20.0,24.9,12.5,6.0,0.18,23.0
6,19.4,24.2,28.9,11.3,4.0,0.12,1.0
7,22.3,27.0,31.7,11.8,1.0,0.03,0.0
8,22.9,27.3,32.5,11.1,2.0,0.08,1.0
9,20.2,24.1,29.5,11.5,7.0,0.25,24.0
10,15.5,20.4,25.6,10.8,5.0,0.16,28.0
11,12.0,15.8,22.0,13.7,6.0,0.18,12.0
12,8.8,13.1,18.8,11.8,4.0,0.13,2.0
