m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,2.4,4.8,7.1,20.5,20.0,0.65,61.0
2,3.3,5.6,8.6,22.1,17.0,0.57,60.0
3,3.7,7.5,10.4,18.5,17.0,0.55,46.0
4,5.9,10.0,13.9,18.0,13.0,0.43,42.0
5,9.6,13.9,17.9,15.5,15.0,0.47,52.0
6,13.1,17.0,21.4,15.1,11.0,0.37,47.0
7,14.6,18.1,22.0,15.4,14.0,0.44,55.0
8,15.0,19.0,23.1,14.8,14.0,0.45,50.0
9,12.5,15.8,20.3,14.2,16.0,0.52,88.0
10,9.6,12.5,15.8,17.1,19.0,0.61,90.0
11,5.5,8.0,11.0,17.0,19.0,0.65,84.0
12,3.9,6.1,8.1,19.4,22.0,0.72,83.0
