m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,23.5,26.8,30.9,9.4,30.0,0.97,202.0
2,23.8,27.3,31.6,8.9,29.0,0.98,96.0
3,24.1,27.7,32.4,9.9,29.0,0.94,138.0
4,24.5,28.0,32.8,9.0,30.0,0.98,158.0
5,24.6,28.1,32.6,8.7,29.0,0.94,186.0
6,24.2,27.7,32.0,8.6,28.0,0.93,178.0
7,24.0,27.6,32.2,8.8,27.0,0.87,125.0
8,23.8,27.3,31.9,9.1,30.0,0.95,245.0
9,23.7,27.1,31.6,8.9,30.0,0.98,239.0
10,23.9,27.1,31.2,8.4,29.0,0.95,336.0
11,24.2,26.9,30.7,8.9,30.0,0.99,385.0
12,24.0,26.7,30.5,9.2,30.0,0.98,324.0
