m,m3,coco,coco_pct,country,place
5,1,9.0,0.0,egypte,alexandrië
5,1,17.0,0.001,egypte,alexandrië
5,1,18.0,0.001,egypte,alexandrië
5,1,25.0,0.0,egypte,alexandrië
5,2,1.0,0.667,egypte,alexandrië
5,2,2.0,0.323,egypte,alexandrië
5,2,3.0,0.007,egypte,alexandrië
5,2,5.0,0.003,egypte,alexandrië
5,2,7.0,0.0,egypte,alexandrië
5,2,8.0,0.0,egypte,alexandrië
5,2,9.0,0.0,egypte,alexandrië
5,2,17.0,0.0,egypte,alexandrië
5,2,18.0,0.0,egypte,alexandrië
5,2,25.0,0.0,egypte,alexandrië
5,3,1.0,0.61,egypte,alexandrië
5,3,2.0,0.387,egypte,alexandrië
5,3,3.0,0.003,egypte,alexandrië
5,3,5.0,0.0,egypte,alexandrië
5,3,7.0,0.0,egypte,alexandrië
5,3,8.0,0.0,egypte,alexandrië
5,3,9.0,0.0,egypte,alexandrië
5,3,17.0,0.0,egypte,alexandrië
5,3,18.0,0.0,egypte,alexandrië
5,3,25.0,0.0,egypte,alexandrië
6,1,1.0,0.551,egypte,alexandrië
6,1,2.0,0.444,egypte,alexandrië
6,1,3.0,0.004,egypte,alexandrië
6,1,5.0,0.0,egypte,alexandrië
6,1,7.0,0.0,egypte,alexandrië
6,1,8.0,0.0,egypte,alexandrië
6,1,9.0,0.0,egypte,alexandrië
6,1,17.0,0.0,egypte,alexandrië
6,1,18.0,0.0,egypte,alexandrië
6,1,25.0,0.0,egypte,alexandrië
6,2,1.0,0.512,egypte,alexandrië
6,2,2.0,0.482,egypte,alexandrië
6,2,3.0,0.005,egypte,alexandrië
6,2,5.0,0.001,egypte,alexandrië
6,2,7.0,0.0,egypte,alexandrië
6,2,8.0,0.0,egypte,alexandrië
6,2,9.0,0.0,egypte,alexandrië
6,2,17.0,0.0,egypte,alexandrië
6,2,18.0,0.001,egypte,alexandrië
6,2,25.0,0.0,egypte,alexandrië
6,3,1.0,0.565,egypte,alexandrië
6,3,2.0,0.432,egypte,alexandrië
6,3,3.0,0.002,egypte,alexandrië
6,3,5.0,0.001,egypte,alexandrië
6,3,7.0,0.0,egypte,alexandrië
6,3,8.0,0.0,egypte,alexandrië
6,3,9.0,0.0,egypte,alexandrië
6,3,17.0,0.0,egypte,alexandrië
6,3,18.0,0.0,egypte,alexandrië
6,3,25.0,0.0,egypte,alexandrië
7,1,1.0,0.49,egypte,alexandrië
7,1,2.0,0.502,egypte,alexandrië
7,1,3.0,0.007,egypte,alexandrië
7,1,5.0,0.0,egypte,alexandrië
7,1,7.0,0.0,egypte,alexandrië
7,1,8.0,0.0,egypte,alexandrië
7,1,9.0,0.0,egypte,alexandrië
7,1,17.0,0.0,egypte,alexandrië
7,1,18.0,0.0,egypte,alexandrië
7,1,25.0,0.0,egypte,alexandrië
7,2,1.0,0.503,egypte,alexandrië
7,2,2.0,0.495,egypte,alexandrië
7,2,3.0,0.002,egypte,alexandrië
7,2,5.0,0.0,egypte,alexandrië
7,2,7.0,0.0,egypte,alexandrië
7,2,8.0,0.0,egypte,alexandrië
7,2,9.0,0.0,egypte,alexandrië
7,2,17.0,0.0,egypte,alexandrië
7,2,18.0,0.0,egypte,alexandrië
7,2,25.0,0.0,egypte,alexandrië
7,3,1.0,0.557,egypte,alexandrië
7,3,2.0,0.441,egypte,alexandrië
7,3,3.0,0.003,egypte,alexandrië
7,3,5.0,0.0,egypte,alexandrië
7,3,7.0,0.0,egypte,alexandrië
7,3,8.0,0.0,egypte,alexandrië
7,3,9.0,0.0,egypte,alexandrië
7,3,17.0,0.0,egypte,alexandrië
7,3,18.0,0.0,egypte,alexandrië
7,3,25.0,0.0,egypte,alexandrië
8,1,1.0,0.473,egypte,alexandrië
8,1,2.0,0.527,egypte,alexandrië
8,1,3.0,0.001,egypte,alexandrië
8,1,5.0,0.0,egypte,alexandrië
8,1,7.0,0.0,egypte,alexandrië
8,1,8.0,0.0,egypte,alexandrië
8,1,9.0,0.0,egypte,alexandrië
8,1,17.0,0.0,egypte,alexandrië
8,1,18.0,0.0,egypte,alexandrië
8,1,25.0,0.0,egypte,alexandrië
8,2,1.0,0.253,egypte,alexandrië
8,2,2.0,0.745,egypte,alexandrië
8,2,3.0,0.0,egypte,alexandrië
8,2,5.0,0.002,egypte,alexandrië
8,2,7.0,0.0,egypte,alexandrië
8,2,8.0,0.0,egypte,alexandrië
8,2,9.0,0.0,egypte,alexandrië
8,2,17.0,0.0,egypte,alexandrië
8,2,18.0,0.0,egypte,alexandrië
8,2,25.0,0.0,egypte,alexandrië
8,3,1.0,0.316,egypte,alexandrië
8,3,2.0,0.682,egypte,alexandrië
8,3,3.0,0.002,egypte,alexandrië
8,3,5.0,0.001,egypte,alexandrië
8,3,7.0,0.0,egypte,alexandrië
8,3,8.0,0.0,egypte,alexandrië
8,3,9.0,0.0,egypte,alexandrië
8,3,17.0,0.0,egypte,alexandrië
8,3,18.0,0.0,egypte,alexandrië
8,3,25.0,0.0,egypte,alexandrië
9,1,1.0,0.263,egypte,alexandrië
9,1,2.0,0.737,egypte,alexandrië
9,1,3.0,0.001,egypte,alexandrië
9,1,5.0,0.0,egypte,alexandrië
9,1,7.0,0.0,egypte,alexandrië
9,1,8.0,0.0,egypte,alexandrië
9,1,9.0,0.0,egypte,alexandrië
9,1,17.0,0.0,egypte,alexandrië
9,1,18.0,0.0,egypte,alexandrië
9,1,25.0,0.0,egypte,alexandrië
9,2,1.0,0.241,egypte,alexandrië
9,2,2.0,0.746,egypte,alexandrië
9,2,3.0,0.01,egypte,alexandrië
9,2,5.0,0.0,egypte,alexandrië
9,2,7.0,0.0,egypte,alexandrië
9,2,8.0,0.0,egypte,alexandrië
9,2,9.0,0.0,egypte,alexandrië
9,2,17.0,0.0,egypte,alexandrië
9,2,18.0,0.003,egypte,alexandrië
9,2,25.0,0.0,egypte,alexandrië
9,3,1.0,0.41,egypte,alexandrië
9,3,2.0,0.59,egypte,alexandrië
9,3,3.0,0.001,egypte,alexandrië
9,3,5.0,0.0,egypte,alexandrië
9,3,7.0,0.0,egypte,alexandrië
9,3,8.0,0.0,egypte,alexandrië
9,3,9.0,0.0,egypte,alexandrië
9,3,17.0,0.0,egypte,alexandrië
9,3,18.0,0.0,egypte,alexandrië
9,3,25.0,0.0,egypte,alexandrië
10,1,1.0,0.284,egypte,alexandrië
10,1,2.0,0.658,egypte,alexandrië
10,1,3.0,0.052,egypte,alexandrië
10,1,5.0,0.007,egypte,alexandrië
10,1,7.0,0.0,egypte,alexandrië
10,1,8.0,0.0,egypte,alexandrië
10,1,9.0,0.0,egypte,alexandrië
10,1,17.0,0.0,egypte,alexandrië
10,1,18.0,0.0,egypte,alexandrië
10,1,25.0,0.0,egypte,alexandrië
10,2,1.0,0.307,egypte,alexandrië
10,2,2.0,0.643,egypte,alexandrië
10,2,3.0,0.039,egypte,alexandrië
10,2,5.0,0.01,egypte,alexandrië
10,2,7.0,0.0,egypte,alexandrië
10,2,8.0,0.0,egypte,alexandrië
10,2,9.0,0.0,egypte,alexandrië
10,2,17.0,0.001,egypte,alexandrië
10,2,18.0,0.0,egypte,alexandrië
10,2,25.0,0.0,egypte,alexandrië
10,3,1.0,0.166,egypte,alexandrië
10,3,2.0,0.705,egypte,alexandrië
10,3,3.0,0.049,egypte,alexandrië
10,3,5.0,0.004,egypte,alexandrië
10,3,7.0,0.0,egypte,alexandrië
10,3,8.0,0.001,egypte,alexandrië
10,3,9.0,0.001,egypte,alexandrië
10,3,17.0,0.004,egypte,alexandrië
10,3,18.0,0.069,egypte,alexandrië
10,3,25.0,0.002,egypte,alexandrië
11,1,1.0,0.268,egypte,alexandrië
11,1,2.0,0.61,egypte,alexandrië
11,1,3.0,0.07,egypte,alexandrië
11,1,5.0,0.015,egypte,alexandrië
11,1,7.0,0.0,egypte,alexandrië
11,1,8.0,0.0,egypte,alexandrië
11,1,9.0,0.0,egypte,alexandrië
11,1,17.0,0.004,egypte,alexandrië
11,1,18.0,0.032,egypte,alexandrië
11,1,25.0,0.002,egypte,alexandrië
11,2,1.0,0.185,egypte,alexandrië
11,2,2.0,0.602,egypte,alexandrië
11,2,3.0,0.108,egypte,alexandrië
11,2,5.0,0.008,egypte,alexandrië
11,2,7.0,0.001,egypte,alexandrië
11,2,8.0,0.001,egypte,alexandrië
11,2,9.0,0.0,egypte,alexandrië
11,2,17.0,0.008,egypte,alexandrië
11,2,18.0,0.085,egypte,alexandrië
11,2,25.0,0.003,egypte,alexandrië
11,3,1.0,0.253,egypte,alexandrië
11,3,2.0,0.525,egypte,alexandrië
11,3,3.0,0.114,egypte,alexandrië
11,3,5.0,0.026,egypte,alexandrië
11,3,7.0,0.0,egypte,alexandrië
11,3,8.0,0.0,egypte,alexandrië
11,3,9.0,0.0,egypte,alexandrië
11,3,17.0,0.007,egypte,alexandrië
11,3,18.0,0.074,egypte,alexandrië
11,3,25.0,0.002,egypte,alexandrië
12,1,1.0,0.222,egypte,alexandrië
12,1,2.0,0.589,egypte,alexandrië
12,1,3.0,0.147,egypte,alexandrië
12,1,5.0,0.001,egypte,alexandrië
