m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct,country,place
1,1,0,11.0,14.9,13.1,81.8,10.1,0.1,egypte,alexandrië
1,1,1,11.0,14.3,12.6,83.8,9.2,0.07,egypte,alexandrië
1,1,2,10.0,14.0,12.4,85.0,8.8,0.1,egypte,alexandrië
1,1,3,10.1,13.6,12.0,85.0,7.9,0.13,egypte,alexandrië
1,1,4,10.0,13.4,11.8,84.3,8.8,0.17,egypte,alexandrië
1,1,5,9.5,13.7,11.6,83.8,9.3,0.0,egypte,alexandrië
1,1,6,10.4,14.5,12.5,80.5,10.6,0.03,egypte,alexandrië
1,1,7,12.5,16.7,14.6,76.0,13.0,0.03,egypte,alexandrië
1,1,8,13.5,18.0,16.0,72.0,15.8,0.1,egypte,alexandrië
1,1,9,14.8,19.6,17.2,66.5,17.7,0.2,egypte,alexandrië
1,1,10,16.0,20.2,18.0,65.8,19.5,0.23,egypte,alexandrië
1,1,11,17.0,21.0,18.8,61.8,19.0,0.23,egypte,alexandrië
1,1,12,16.9,21.4,19.0,61.0,21.3,0.3,egypte,alexandrië
1,1,13,16.9,20.7,18.8,63.3,19.1,0.13,egypte,alexandrië
1,1,14,16.0,20.0,18.0,64.8,19.5,0.07,egypte,alexandrië
1,1,15,15.6,19.3,17.4,67.8,17.7,0.03,egypte,alexandrië
1,1,16,14.0,18.6,16.5,70.0,15.8,0.07,egypte,alexandrië
1,1,17,14.0,18.0,16.0,72.3,14.5,0.07,egypte,alexandrië
1,1,18,13.4,16.7,15.0,77.0,13.9,0.07,egypte,alexandrië
1,1,19,13.0,16.3,14.5,79.3,11.1,0.07,egypte,alexandrië
1,1,20,12.5,16.0,14.2,79.0,11.6,0.13,egypte,alexandrië
1,1,21,12.4,15.9,14.0,81.3,11.1,0.1,egypte,alexandrië
1,1,22,12.0,16.0,13.9,79.0,10.1,0.1,egypte,alexandrië
1,1,23,11.0,16.0,13.5,81.3,10.6,0.13,egypte,alexandrië
1,2,0,10.7,15.0,13.0,79.8,10.7,0.13,egypte,alexandrië
1,2,1,10.0,14.5,12.4,82.5,10.2,0.13,egypte,alexandrië
1,2,2,9.7,14.0,11.7,84.3,10.2,0.13,egypte,alexandrië
1,2,3,9.3,13.6,11.6,83.3,10.3,0.1,egypte,alexandrië
1,2,4,9.9,13.9,11.6,82.3,10.1,0.1,egypte,alexandrië
1,2,5,10.1,13.4,11.9,84.0,11.1,0.13,egypte,alexandrië
1,2,6,10.8,13.7,12.3,81.3,10.1,0.07,egypte,alexandrië
1,2,7,12.1,15.4,14.0,77.0,13.5,0.03,egypte,alexandrië
1,2,8,14.0,16.6,15.1,72.0,14.9,0.03,egypte,alexandrië
1,2,9,15.4,18.3,16.9,66.8,17.2,0.1,egypte,alexandrië
1,2,10,16.0,19.2,17.5,63.8,18.1,0.1,egypte,alexandrië
1,2,11,15.9,19.8,18.0,61.8,17.7,0.13,egypte,alexandrië
1,2,12,16.5,20.4,18.5,60.5,19.5,0.1,egypte,alexandrië
1,2,13,16.0,20.0,17.9,61.0,17.7,0.03,egypte,alexandrië
1,2,14,16.0,19.0,17.3,61.5,16.8,0.0,egypte,alexandrië
1,2,15,15.0,18.3,16.5,65.5,16.3,0.03,egypte,alexandrië
1,2,16,14.0,17.7,15.9,66.8,14.9,0.07,egypte,alexandrië
1,2,17,14.0,17.2,15.4,70.5,12.9,0.03,egypte,alexandrië
1,2,18,13.5,15.7,14.7,73.8,12.0,0.07,egypte,alexandrië
1,2,19,12.9,15.7,14.3,74.8,11.1,0.03,egypte,alexandrië
1,2,20,13.0,15.2,14.1,76.3,11.6,0.03,egypte,alexandrië
1,2,21,11.7,15.0,13.4,77.5,11.6,0.0,egypte,alexandrië
1,2,22,11.6,15.0,13.3,78.5,12.1,0.1,egypte,alexandrië
1,2,23,11.1,15.0,13.1,79.8,11.5,0.1,egypte,alexandrië
1,3,0,10.6,14.3,12.5,75.5,11.0,0.03,egypte,alexandrië
1,3,1,10.0,14.0,12.1,77.5,10.1,0.12,egypte,alexandrië
1,3,2,10.0,13.7,11.6,79.0,11.0,0.06,egypte,alexandrië
1,3,3,9.1,13.4,11.1,81.0,10.1,0.12,egypte,alexandrië
1,3,4,9.0,13.6,11.2,79.5,10.2,0.09,egypte,alexandrië
1,3,5,9.0,13.6,11.1,79.5,9.2,0.15,egypte,alexandrië
1,3,6,9.8,13.9,11.6,76.5,9.3,0.18,egypte,alexandrië
1,3,7,12.0,15.7,13.5,72.5,12.1,0.21,egypte,alexandrië
1,3,8,13.6,17.2,15.5,67.0,13.9,0.24,egypte,alexandrië
1,3,9,15.2,18.8,16.9,62.0,14.9,0.21,egypte,alexandrië
1,3,10,16.0,19.3,17.5,60.0,16.7,0.27,egypte,alexandrië
1,3,11,16.0,20.0,18.0,58.0,16.8,0.21,egypte,alexandrië
1,3,12,16.3,20.3,18.4,55.0,18.6,0.18,egypte,alexandrië
1,3,13,17.0,19.7,18.2,56.0,18.6,0.15,egypte,alexandrië
1,3,14,16.0,19.0,17.6,58.0,17.7,0.18,egypte,alexandrië
1,3,15,15.4,18.4,17.0,60.0,17.7,0.09,egypte,alexandrië
