m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct,country,place
1,0,10.9,14.7,12.7,80.0,11.0,0.09,egypte,alexandrië
1,1,10.4,14.2,12.5,82.5,10.1,0.11,egypte,alexandrië
1,2,10.0,14.0,11.9,83.5,10.1,0.1,egypte,alexandrië
1,3,9.3,13.4,11.6,84.0,9.3,0.12,egypte,alexandrië
1,4,9.0,13.6,11.5,82.5,10.1,0.12,egypte,alexandrië
1,5,9.6,13.6,11.4,83.0,9.3,0.1,egypte,alexandrië
1,6,10.2,14.1,12.3,80.5,10.1,0.1,egypte,alexandrië
1,7,12.0,16.0,14.0,76.0,13.0,0.1,egypte,alexandrië
1,8,14.0,17.0,15.5,70.5,14.8,0.13,egypte,alexandrië
1,9,15.2,18.8,16.9,65.5,16.7,0.17,egypte,alexandrië
1,10,16.0,19.5,17.5,63.5,18.5,0.2,egypte,alexandrië
1,11,16.0,20.0,18.0,60.5,17.7,0.19,egypte,alexandrië
1,12,16.7,20.5,18.8,59.5,19.5,0.19,egypte,alexandrië
1,13,17.0,20.0,18.3,60.0,18.6,0.11,egypte,alexandrië
1,14,16.0,19.2,17.8,61.5,17.7,0.09,egypte,alexandrië
1,15,15.4,18.6,17.0,64.5,17.7,0.05,egypte,alexandrië
1,16,14.0,18.0,16.2,65.5,14.9,0.07,egypte,alexandrië
1,17,14.0,17.3,15.5,69.5,13.9,0.09,egypte,alexandrië
1,18,13.3,16.0,14.6,72.0,13.1,0.07,egypte,alexandrië
1,19,13.0,15.8,14.3,74.5,11.2,0.09,egypte,alexandrië
1,20,12.0,15.3,14.0,76.5,11.9,0.12,egypte,alexandrië
1,21,11.6,15.1,13.6,77.5,11.1,0.09,egypte,alexandrië
1,22,11.6,15.0,13.5,77.5,11.1,0.09,egypte,alexandrië
1,23,11.0,15.0,13.2,78.0,10.2,0.13,egypte,alexandrië
2,0,11.0,14.2,12.6,77.5,8.3,0.07,egypte,alexandrië
2,1,11.0,14.0,12.3,79.0,9.3,0.09,egypte,alexandrië
2,2,10.0,13.8,11.9,80.0,9.3,0.09,egypte,alexandrië
2,3,9.8,13.5,11.5,80.0,9.2,0.1,egypte,alexandrië
2,4,10.0,13.6,11.6,80.5,8.3,0.06,egypte,alexandrië
2,5,10.0,14.0,12.0,80.5,9.2,0.06,egypte,alexandrië
2,6,11.0,14.2,12.5,77.0,9.3,0.1,egypte,alexandrië
2,7,13.0,15.5,14.1,70.5,11.0,0.1,egypte,alexandrië
2,8,14.0,17.0,16.0,65.0,13.9,0.15,egypte,alexandrië
2,9,15.4,18.4,17.0,61.5,14.9,0.15,egypte,alexandrië
2,10,16.0,19.0,17.7,59.0,14.9,0.13,egypte,alexandrië
2,11,17.0,20.0,18.3,56.5,15.8,0.17,egypte,alexandrië
2,12,16.7,20.4,18.5,55.5,17.6,0.08,egypte,alexandrië
