m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,2.3,4.5,7.4,4.1,7.0,0.22,19.0
2,4.4,7.2,11.0,4.6,7.0,0.23,20.0
3,6.8,9.8,13.9,5.3,9.0,0.28,45.0
4,9.1,13.0,17.5,5.8,10.0,0.32,101.0
5,13.6,16.9,21.0,5.4,17.0,0.53,176.0
6,18.3,22.2,26.6,5.2,12.0,0.4,120.0
7,20.4,24.4,28.5,5.2,10.0,0.34,104.0
8,20.2,23.9,28.4,4.8,10.0,0.34,137.0
9,16.5,20.3,23.9,4.4,10.0,0.35,104.0
10,12.0,14.4,17.6,3.8,11.0,0.36,133.0
11,6.8,8.4,11.2,3.8,11.0,0.36,117.0
12,2.9,4.8,7.4,3.5,8.0,0.26,48.0
