m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
1,3.8,5.3,6.5,29.2,20.0,0.64,47.0,nederland,ameland
2,4.1,5.5,7.0,29.7,13.0,0.44,48.0,nederland,ameland
3,5.4,6.6,8.3,25.0,14.0,0.44,37.0,nederland,ameland
4,7.0,8.8,10.5,24.3,11.0,0.37,28.0,nederland,ameland
5,11.2,12.4,14.2,21.5,10.0,0.31,27.0,nederland,ameland
6,14.2,15.8,17.3,19.9,9.0,0.31,36.0,nederland,ameland
7,15.9,17.1,19.3,21.4,11.0,0.35,48.0,nederland,ameland
8,17.1,18.9,20.2,21.2,12.0,0.38,44.0,nederland,ameland
9,14.9,16.2,18.1,21.1,11.0,0.37,45.0,nederland,ameland
10,11.2,12.9,14.4,27.9,17.0,0.55,73.0,nederland,ameland
11,7.1,8.5,10.2,28.2,17.0,0.57,63.0,nederland,ameland
12,5.0,6.4,7.7,28.9,21.0,0.66,67.0,nederland,ameland
1,2.4,4.8,7.1,20.5,20.0,0.65,61.0,nederland,amsterdam
2,3.3,5.6,8.6,22.1,17.0,0.57,60.0,nederland,amsterdam
3,3.7,7.5,10.4,18.5,17.0,0.55,46.0,nederland,amsterdam
4,5.9,10.0,13.9,18.0,13.0,0.43,42.0,nederland,amsterdam
5,9.6,13.9,17.9,15.5,15.0,0.47,52.0,nederland,amsterdam
6,13.1,17.0,21.4,15.1,11.0,0.37,47.0,nederland,amsterdam
7,14.6,18.1,22.0,15.4,14.0,0.44,55.0,nederland,amsterdam
8,15.0,19.0,23.1,14.8,14.0,0.45,50.0,nederland,amsterdam
9,12.5,15.8,20.3,14.2,16.0,0.52,88.0,nederland,amsterdam
10,9.6,12.5,15.8,17.1,19.0,0.61,90.0,nederland,amsterdam
11,5.5,8.0,11.0,17.0,19.0,0.65,84.0,nederland,amsterdam
12,3.9,6.1,8.1,19.4,22.0,0.72,83.0,nederland,amsterdam
1,2.3,4.3,6.7,16.2,19.0,0.62,58.0,nederland,den-bosch
2,2.6,5.4,8.7,18.8,18.0,0.62,78.0,nederland,den-bosch
3,3.1,7.3,10.8,14.9,16.0,0.53,57.0,nederland,den-bosch
4,4.9,9.7,14.5,14.0,13.0,0.42,45.0,nederland,den-bosch
5,8.6,13.7,18.7,12.5,16.0,0.5,67.0,nederland,den-bosch
6,12.6,17.5,22.3,11.8,12.0,0.41,45.0,nederland,den-bosch
7,13.2,18.1,22.6,11.1,15.0,0.49,56.0,nederland,den-bosch
8,14.1,18.8,23.9,11.2,17.0,0.55,56.0,nederland,den-bosch
9,10.6,15.8,20.6,10.5,14.0,0.47,58.0,nederland,den-bosch
10,8.6,12.2,15.9,13.3,19.0,0.61,77.0,nederland,den-bosch
11,4.5,7.5,10.5,14.1,18.0,0.59,62.0,nederland,den-bosch
12,2.5,5.4,7.6,15.8,21.0,0.66,74.0,nederland,den-bosch
1,3.3,4.8,6.6,21.8,20.0,0.65,65.0,nederland,den-haag
2,4.4,5.9,8.3,22.6,17.0,0.57,61.0,nederland,den-haag
3,4.9,7.6,10.3,18.8,17.0,0.56,53.0,nederland,den-haag
4,6.8,9.9,13.3,18.2,14.0,0.48,52.0,nederland,den-haag
5,9.9,13.5,17.0,16.1,14.0,0.44,64.0,nederland,den-haag
6,13.6,17.1,20.9,15.1,11.0,0.36,32.0,nederland,den-haag
7,14.9,18.0,21.2,15.9,14.0,0.45,63.0,nederland,den-haag
8,16.0,19.0,22.1,16.3,15.0,0.48,49.0,nederland,den-haag
9,13.4,16.1,19.6,15.3,14.0,0.47,95.0,nederland,den-haag
10,10.6,12.8,15.2,18.7,19.0,0.62,95.0,nederland,den-haag
11,6.7,8.5,10.3,18.1,20.0,0.65,78.0,nederland,den-haag
12,4.4,6.2,7.5,20.7,22.0,0.69,82.0,nederland,den-haag
1,2.1,3.9,5.9,17.1,21.0,0.69,72.0,nederland,drenthe
2,2.5,4.9,7.6,18.5,18.0,0.61,72.0,nederland,drenthe
3,2.4,6.7,10.4,15.7,16.0,0.52,58.0,nederland,drenthe
4,4.0,8.8,13.8,15.3,13.0,0.45,45.0,nederland,drenthe
