m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1.3,5.5,9.8,9.6,10.0,0.32,25.0
2,2.6,7.2,12.4,8.6,8.0,0.28,15.0
3,4.3,9.5,14.9,10.0,10.0,0.32,28.0
4,7.3,12.9,17.2,9.8,10.0,0.32,26.0
5,12.5,17.2,21.2,9.6,11.0,0.36,32.0
6,17.6,23.0,27.1,9.5,6.0,0.19,23.0
7,19.7,25.3,29.7,9.6,6.0,0.18,19.0
8,19.9,25.0,29.2,9.0,6.0,0.18,27.0
9,16.5,21.4,26.0,8.9,9.0,0.28,65.0
10,12.5,16.6,21.1,8.9,11.0,0.35,23.0
11,7.2,11.1,14.1,9.5,13.0,0.45,56.0
12,2.5,6.5,10.6,9.2,11.0,0.36,34.0
