m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,7.4,11.3,15.0,10.9,12.0,0.37,39.0
2,8.5,11.9,15.9,12.5,14.0,0.49,34.0
3,9.3,13.0,16.5,13.1,16.0,0.5,30.0
4,10.8,14.3,18.1,13.8,12.0,0.41,17.0
5,13.6,16.8,21.1,14.4,8.0,0.27,3.0
6,15.3,18.2,21.9,15.9,12.0,0.4,12.0
7,16.4,19.8,24.1,15.9,3.0,0.08,0.0
8,16.5,20.2,24.7,17.2,2.0,0.05,0.0
9,15.6,19.8,24.7,13.4,13.0,0.42,22.0
10,13.5,17.5,21.3,13.0,16.0,0.52,44.0
11,10.9,14.1,17.8,11.8,14.0,0.48,26.0
12,9.3,12.3,15.9,10.9,17.0,0.55,46.0
