m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,9.1,12.2,15.1,14.9,11.0,0.35,69.0
2,9.4,12.8,16.4,14.3,11.0,0.37,43.0
3,10.7,13.9,17.0,16.0,15.0,0.47,61.0
4,11.6,15.0,18.8,16.6,14.0,0.48,57.0
5,14.2,17.6,22.5,18.5,6.0,0.2,5.0
6,16.0,18.8,22.6,19.2,9.0,0.3,13.0
7,17.0,20.5,25.0,21.0,2.0,0.07,0.0
8,17.2,20.7,25.6,21.4,1.0,0.04,0.0
9,16.2,20.1,25.5,15.3,7.0,0.24,30.0
10,14.7,18.2,21.3,14.9,13.0,0.42,55.0
11,12.3,15.0,18.0,14.6,17.0,0.56,59.0
12,10.0,13.2,16.2,14.2,14.0,0.46,84.0
