m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,15.6,17.7,18.4,20.0,15.0,0.48,34.0
2,15.2,17.8,18.6,18.8,13.0,0.46,41.0
3,15.1,17.7,18.6,19.0,15.0,0.49,54.0
4,15.9,18.5,20.0,17.3,13.0,0.42,30.0
5,17.4,19.9,21.5,18.8,9.0,0.3,9.0
6,18.6,21.0,22.5,16.0,10.0,0.33,37.0
7,20.3,22.8,24.9,17.4,5.0,0.15,1.0
8,21.4,23.8,26.1,19.3,5.0,0.15,3.0
9,21.0,23.4,25.0,15.4,14.0,0.45,14.0
10,20.1,22.3,23.7,16.0,13.0,0.42,29.0
11,18.0,20.3,21.3,16.1,14.0,0.47,76.0
12,16.6,18.9,19.5,20.8,19.0,0.6,64.0
