m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
1,1,8.1,11.9,16.8,11.6,6.0,0.55,63.0,turkije,alanya
1,2,7.2,10.9,15.5,15.1,6.0,0.6,65.0,turkije,alanya
1,3,6.7,10.4,15.5,13.4,6.0,0.52,70.0,turkije,alanya
2,1,7.5,11.1,15.7,14.3,5.0,0.51,11.0,turkije,alanya
2,2,7.4,11.6,16.5,13.4,4.0,0.35,19.0,turkije,alanya
2,3,8.6,12.7,17.0,12.1,5.0,0.56,36.0,turkije,alanya
3,1,8.6,13.5,18.1,12.2,4.0,0.41,12.0,turkije,alanya
3,2,8.8,13.7,18.3,14.3,5.0,0.48,28.0,turkije,alanya
3,3,9.4,14.5,19.4,14.0,4.0,0.38,12.0,turkije,alanya
4,1,11.5,16.3,20.9,10.9,4.0,0.35,5.0,turkije,alanya
4,2,12.6,17.8,22.7,12.1,2.0,0.15,0.0,turkije,alanya
4,3,13.7,19.5,24.8,11.2,2.0,0.15,0.0,turkije,alanya
5,1,15.4,20.7,25.2,13.2,2.0,0.23,6.0,turkije,alanya
5,2,17.1,22.9,28.5,11.2,2.0,0.18,0.0,turkije,alanya
5,3,18.2,23.0,28.4,12.6,3.0,0.29,3.0,turkije,alanya
6,1,19.5,24.1,29.8,11.3,1.0,0.12,0.0,turkije,alanya
6,2,20.5,25.2,29.2,11.0,3.0,0.31,3.0,turkije,alanya
6,3,23.4,28.3,33.5,13.6,0.0,0.03,0.0,turkije,alanya
7,1,24.4,29.5,34.9,13.5,0.0,0.03,0.0,turkije,alanya
7,2,25.6,30.5,35.8,12.5,0.0,0.03,0.0,turkije,alanya
7,3,25.9,30.7,36.0,14.0,1.0,0.07,0.0,turkije,alanya
8,1,25.8,30.2,34.6,11.2,0.0,0.0,0.0,turkije,alanya
8,2,24.8,29.7,35.0,11.9,0.0,0.0,0.0,turkije,alanya
8,3,24.0,29.0,34.0,11.7,2.0,0.17,1.0,turkije,alanya
9,1,23.5,28.3,33.6,11.6,1.0,0.08,0.0,turkije,alanya
9,2,22.3,27.1,32.1,12.0,1.0,0.12,0.0,turkije,alanya
9,3,20.5,25.2,30.8,12.2,1.0,0.12,0.0,turkije,alanya
10,1,19.1,23.8,29.2,11.8,1.0,0.12,0.0,turkije,alanya
10,2,18.4,22.7,27.3,11.6,3.0,0.32,6.0,turkije,alanya
10,3,15.2,20.8,26.6,10.7,1.0,0.13,1.0,turkije,alanya
11,1,14.6,19.6,25.4,10.8,3.0,0.29,7.0,turkije,alanya
11,2,12.4,17.0,22.9,11.2,5.0,0.49,16.0,turkije,alanya
11,3,11.7,15.5,20.0,12.1,6.0,0.65,49.0,turkije,alanya
12,1,10.0,13.8,18.1,10.5,7.0,0.65,45.0,turkije,alanya
12,2,9.9,13.1,17.3,12.2,6.0,0.58,117.0,turkije,alanya
12,3,8.2,11.8,17.0,12.6,5.0,0.48,90.0,turkije,alanya
1,1,-2.3,2.9,7.6,6.8,4.0,0.43,10.0,turkije,ankara
1,2,-2.4,1.6,6.5,7.3,5.0,0.51,12.0,turkije,ankara
1,3,-2.5,1.5,6.1,7.1,6.0,0.51,7.0,turkije,ankara
2,1,-1.0,3.1,8.9,8.3,4.0,0.41,12.0,turkije,ankara
2,2,-2.1,3.3,8.3,7.2,4.0,0.35,8.0,turkije,ankara
2,3,0.5,5.8,12.5,6.8,4.0,0.43,16.0,turkije,ankara
3,1,0.5,6.5,12.5,8.0,5.0,0.54,18.0,turkije,ankara
3,2,1.6,6.8,11.8,9.3,6.0,0.64,22.0,turkije,ankara
3,3,1.5,6.5,12.1,9.7,6.0,0.58,15.0,turkije,ankara
4,1,5.8,12.1,18.1,9.3,5.0,0.46,7.0,turkije,ankara
4,2,5.5,12.6,18.0,8.3,5.0,0.53,11.0,turkije,ankara
4,3,6.9,15.4,22.2,8.5,4.0,0.4,6.0,turkije,ankara
5,1,8.4,14.7,20.5,8.5,6.0,0.58,12.0,turkije,ankara
5,2,10.6,18.0,24.9,8.1,4.0,0.45,9.0,turkije,ankara
5,3,11.0,18.4,25.5,8.4,7.0,0.68,28.0,turkije,ankara
6,1,13.7,20.5,27.4,8.3,5.0,0.51,10.0,turkije,ankara
