m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
1,7.3,11.4,16.0,13.5,16.0,0.52,75.0,turkije,fethiye
2,7.5,11.9,17.0,13.5,8.0,0.28,58.0,turkije,fethiye
3,7.9,13.1,18.5,13.0,13.0,0.42,103.0,turkije,fethiye
4,10.7,16.5,21.7,12.8,10.0,0.33,52.0,turkije,fethiye
5,15.4,21.1,26.0,12.6,11.0,0.35,30.0,turkije,fethiye
6,18.9,24.8,30.0,13.0,5.0,0.18,1.0,turkije,fethiye
7,22.3,28.0,33.5,13.9,1.0,0.02,0.0,turkije,fethiye
8,22.4,27.7,32.4,12.2,2.0,0.07,0.0,turkije,fethiye
9,19.2,25.2,30.9,12.3,6.0,0.19,5.0,turkije,fethiye
10,15.5,20.9,26.5,11.2,4.0,0.13,3.0,turkije,fethiye
11,10.8,16.2,22.3,11.8,12.0,0.41,79.0,turkije,fethiye
12,9.2,13.0,17.5,12.0,15.0,0.49,156.0,turkije,fethiye
1,4.0,7.9,12.3,13.9,15.0,0.48,68.0,turkije,gumuldur
2,5.0,9.2,14.6,15.2,10.0,0.34,34.0,turkije,gumuldur
3,5.9,11.3,16.5,15.2,14.0,0.46,33.0,turkije,gumuldur
4,10.0,15.3,21.3,14.4,12.0,0.4,15.0,turkije,gumuldur
5,14.2,21.1,27.0,14.9,7.0,0.23,7.0,turkije,gumuldur
6,19.2,25.5,31.3,16.6,8.0,0.25,3.0,turkije,gumuldur
7,23.3,29.0,34.7,23.3,2.0,0.05,0.0,turkije,gumuldur
8,22.6,28.7,35.0,20.8,2.0,0.07,0.0,turkije,gumuldur
9,18.9,24.6,31.0,19.4,4.0,0.15,1.0,turkije,gumuldur
10,14.0,19.0,25.1,15.6,4.0,0.14,1.0,turkije,gumuldur
11,9.3,13.8,19.3,14.5,14.0,0.46,67.0,turkije,gumuldur
12,6.2,10.2,14.5,13.0,16.0,0.52,62.0,turkije,gumuldur
1,4.1,7.5,10.5,15.4,17.0,0.56,65.0,turkije,istanbul
2,4.7,7.5,11.5,16.3,13.0,0.46,23.0,turkije,istanbul
3,5.3,9.1,12.7,14.3,21.0,0.66,63.0,turkije,istanbul
4,9.0,12.6,17.3,13.8,16.0,0.54,41.0,turkije,istanbul
5,14.2,17.8,22.3,13.5,13.0,0.41,18.0,turkije,istanbul
6,18.6,22.6,26.8,14.1,12.0,0.41,17.0,turkije,istanbul
7,21.0,25.1,29.5,15.6,9.0,0.3,9.0,turkije,istanbul
8,22.0,25.5,29.8,16.6,8.0,0.26,3.0,turkije,istanbul
9,18.5,22.3,26.3,16.2,14.0,0.46,13.0,turkije,istanbul
10,14.1,17.3,21.0,14.5,13.0,0.4,11.0,turkije,istanbul
11,10.1,13.3,16.4,15.2,14.0,0.48,36.0,turkije,istanbul
12,7.0,9.7,12.5,14.6,18.0,0.57,66.0,turkije,istanbul
1,7.3,11.2,15.6,13.3,17.0,0.56,198.0,turkije,kemer
2,7.5,11.8,16.5,13.3,14.0,0.47,65.0,turkije,kemer
3,8.9,13.7,18.3,13.1,13.0,0.42,52.0,turkije,kemer
4,12.1,17.4,22.7,11.5,7.0,0.22,5.0,turkije,kemer
5,17.1,22.4,27.4,12.1,7.0,0.24,10.0,turkije,kemer
6,20.9,25.8,30.4,12.0,5.0,0.16,3.0,turkije,kemer
7,25.4,30.4,35.6,12.8,1.0,0.04,0.0,turkije,kemer
8,24.9,29.7,34.5,11.7,2.0,0.06,1.0,turkije,kemer
9,22.3,27.1,32.1,11.9,3.0,0.11,0.0,turkije,kemer
10,18.3,22.7,27.6,11.1,6.0,0.19,7.0,turkije,kemer
11,12.6,17.0,22.9,11.3,14.0,0.48,71.0,turkije,kemer
12,9.5,13.1,17.3,11.6,18.0,0.57,252.0,turkije,kemer
1,6.5,10.6,14.8,9.8,15.0,0.49,70.0,turkije,kusadasi
2,6.8,11.3,16.0,8.7,10.0,0.35,32.0,turkije,kusadasi
3,9.0,13.7,17.8,8.8,13.0,0.42,38.0,turkije,kusadasi
4,12.9,17.4,21.8,8.2,13.0,0.44,11.0,turkije,kusadasi
5,16.7,20.8,24.6,6.2,9.0,0.28,3.0,turkije,kusadasi
6,21.4,25.3,29.4,6.3,7.0,0.23,5.0,turkije,kusadasi
7,24.3,29.1,33.2,7.3,1.0,0.03,0.0,turkije,kusadasi
8,24.2,27.7,31.6,5.5,3.0,0.1,1.0,turkije,kusadasi
9,20.3,25.0,28.8,6.5,5.0,0.18,1.0,turkije,kusadasi
10,14.2,20.0,24.3,5.9,4.0,0.14,1.0,turkije,kusadasi
11,12.9,16.8,20.4,6.8,14.0,0.46,79.0,turkije,kusadasi
12,9.8,13.0,16.9,8.4,15.0,0.5,85.0,turkije,kusadasi
1,7.3,11.4,16.0,13.5,16.0,0.52,75.0,turkije,sarigerme
2,7.5,11.9,17.0,13.5,8.0,0.28,58.0,turkije,sarigerme
3,7.9,13.1,18.5,13.0,13.0,0.42,103.0,turkije,sarigerme
4,10.7,16.5,21.7,12.8,10.0,0.33,52.0,turkije,sarigerme
5,15.4,21.1,26.0,12.6,11.0,0.35,30.0,turkije,sarigerme
6,18.9,24.8,30.0,13.0,5.0,0.18,1.0,turkije,sarigerme
7,22.3,28.0,33.5,13.9,1.0,0.02,0.0,turkije,sarigerme
8,22.4,27.7,32.4,12.2,2.0,0.07,0.0,turkije,sarigerme
9,19.2,25.2,30.9,12.3,6.0,0.19,5.0,turkije,sarigerme
10,15.5,20.9,26.5,11.2,4.0,0.13,3.0,turkije,sarigerme
11,10.8,16.2,22.3,11.8,12.0,0.41,79.0,turkije,sarigerme
12,9.2,13.0,17.5,12.0,15.0,0.49,156.0,turkije,sarigerme
