m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,7.0,9.7,12.6,15.8,12.0,0.39,18.0
2,8.5,11.2,14.0,13.8,12.0,0.43,19.0
3,9.6,12.4,15.1,14.1,12.0,0.38,16.0
4,12.1,14.9,16.7,12.3,14.0,0.46,13.0
5,15.6,18.2,20.3,11.8,15.0,0.48,14.0
6,20.5,22.8,25.0,10.1,11.0,0.37,6.0
7,23.5,25.6,27.6,9.1,9.0,0.29,3.0
8,23.5,26.1,28.5,10.6,8.0,0.24,2.0
9,21.0,23.7,26.1,13.3,11.0,0.37,7.0
10,16.0,18.7,21.3,15.6,14.0,0.46,21.0
11,11.2,13.6,16.2,17.2,12.0,0.41,22.0
12,8.0,10.5,13.3,16.0,12.0,0.38,16.0
