m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,10.6,14.9,19.0,14.0,16.0,0.53,59.0
2,10.6,15.0,19.4,12.1,14.0,0.5,17.0
3,12.5,17.0,21.3,14.7,12.0,0.39,21.0
4,15.1,19.7,24.8,14.5,4.0,0.14,8.0
5,18.5,23.6,28.3,13.9,2.0,0.06,1.0
6,21.8,26.2,30.4,14.7,1.0,0.03,0.0
7,24.6,28.2,31.9,15.8,0.0,0.0,0.0
8,25.4,28.7,32.0,14.5,0.0,0.0,0.0
9,24.5,27.7,31.2,14.5,1.0,0.04,0.0
10,20.7,24.6,28.5,12.8,6.0,0.2,2.0
11,17.0,21.6,25.0,11.2,13.0,0.42,24.0
12,12.4,16.4,21.0,11.5,15.0,0.48,41.0
