m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,5.8,10.2,16.6,7.9,9.0,0.3,27.0
2,8.1,13.2,19.6,7.9,5.0,0.18,18.0
3,9.6,15.1,21.2,11.1,11.0,0.34,63.0
4,11.9,17.6,23.2,10.9,9.0,0.29,36.0
5,15.0,21.6,28.8,11.3,4.0,0.13,4.0
6,17.8,24.1,30.6,12.6,2.0,0.07,1.0
7,21.1,28.0,35.2,12.5,1.0,0.02,0.0
8,21.2,28.4,35.7,11.3,1.0,0.02,0.0
9,19.2,24.8,31.4,9.8,4.0,0.13,4.0
10,15.5,20.3,26.9,8.5,8.0,0.24,52.0
11,10.9,15.0,21.1,8.5,10.0,0.33,29.0
12,7.7,11.9,17.7,7.8,8.0,0.26,21.0
