m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,24.0,26.4,30.7,6.9,30.0,0.98,619.0
2,23.7,26.5,31.0,6.8,28.0,0.95,459.0
3,23.9,26.9,31.7,6.9,31.0,0.99,349.0
4,24.0,27.3,32.6,6.4,29.0,0.98,215.0
5,24.1,27.7,33.1,6.0,29.0,0.95,147.0
6,23.3,26.8,32.7,5.9,27.0,0.89,151.0
7,22.5,26.6,32.8,6.2,23.0,0.75,109.0
8,21.9,27.3,33.8,7.5,19.0,0.6,62.0
9,22.4,27.7,34.2,7.7,19.0,0.64,39.0
10,23.0,27.9,34.2,7.3,25.0,0.79,87.0
11,23.8,27.3,33.1,6.8,29.0,0.95,284.0
12,24.0,26.5,30.8,6.7,30.0,0.96,468.0
