m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct,country,place
1,0,7.3,12.6,9.7,73.5,5.6,0.02,griekenland,athene
1,1,6.9,12.4,9.6,74.0,5.6,0.1,griekenland,athene
1,2,6.9,12.3,9.5,73.5,5.6,0.1,griekenland,athene
1,3,6.6,12.4,9.5,73.5,6.5,0.11,griekenland,athene
1,4,6.8,11.8,9.3,74.5,6.5,0.08,griekenland,athene
1,5,6.8,11.8,9.3,75.0,6.5,0.1,griekenland,athene
1,6,6.4,11.5,8.9,75.0,5.6,0.09,griekenland,athene
1,7,7.6,12.7,10.3,70.5,5.6,0.13,griekenland,athene
1,8,8.7,14.2,11.4,67.0,6.5,0.13,griekenland,athene
1,9,9.0,15.2,12.3,62.0,7.4,0.13,griekenland,athene
1,10,9.8,16.2,13.0,60.0,8.3,0.15,griekenland,athene
1,11,10.4,16.8,13.6,58.0,9.3,0.14,griekenland,athene
1,12,10.4,17.4,14.3,56.5,10.1,0.12,griekenland,athene
1,13,10.4,16.6,13.5,58.5,8.4,0.13,griekenland,athene
1,14,9.9,16.1,13.0,61.0,8.3,0.12,griekenland,athene
1,15,9.4,15.6,12.4,62.5,7.4,0.12,griekenland,athene
1,16,9.0,14.8,12.0,65.0,7.4,0.1,griekenland,athene
1,17,8.5,14.4,11.5,67.0,7.4,0.07,griekenland,athene
1,18,8.0,14.0,10.9,68.5,7.4,0.06,griekenland,athene
1,19,7.6,13.8,10.7,69.5,7.4,0.12,griekenland,athene
1,20,7.5,13.5,10.5,70.5,7.4,0.1,griekenland,athene
1,21,7.5,13.3,10.1,71.5,6.5,0.1,griekenland,athene
1,22,7.1,13.1,9.9,72.0,6.5,0.1,griekenland,athene
1,23,7.0,12.8,9.8,73.0,6.5,0.09,griekenland,athene
2,0,7.1,12.1,9.9,73.0,6.5,0.05,griekenland,athene
2,1,6.8,11.7,9.2,72.5,6.5,0.08,griekenland,athene
2,2,6.7,11.4,9.1,73.5,6.5,0.08,griekenland,athene
2,3,6.8,11.7,9.3,74.0,6.5,0.11,griekenland,athene
2,4,6.7,11.6,9.5,74.0,6.5,0.1,griekenland,athene
2,5,6.5,11.3,9.4,74.5,5.6,0.12,griekenland,athene
2,6,7.0,12.1,9.5,73.0,4.7,0.1,griekenland,athene
2,7,8.1,12.8,10.4,68.0,6.5,0.11,griekenland,athene
2,8,9.2,14.6,11.9,63.5,7.4,0.11,griekenland,athene
2,9,10.0,15.8,12.9,60.5,8.3,0.12,griekenland,athene
2,10,10.6,16.9,13.5,57.0,8.4,0.14,griekenland,athene
2,11,11.1,17.8,14.2,55.5,9.3,0.14,griekenland,athene
2,12,10.8,18.6,14.7,54.5,10.3,0.15,griekenland,athene
2,13,11.6,17.9,14.7,55.0,10.2,0.16,griekenland,athene
2,14,11.3,17.3,14.2,55.5,10.2,0.18,griekenland,athene
2,15,10.9,16.7,14.1,57.0,9.2,0.14,griekenland,athene
2,16,10.1,16.2,12.8,60.5,9.3,0.12,griekenland,athene
2,17,9.2,15.2,12.0,63.0,7.4,0.1,griekenland,athene
2,18,8.4,13.7,11.2,67.0,6.6,0.05,griekenland,athene
2,19,8.1,13.8,10.9,67.0,6.5,0.1,griekenland,athene
2,20,7.8,13.3,10.6,68.5,7.4,0.1,griekenland,athene
2,21,7.5,13.0,10.2,70.0,5.8,0.08,griekenland,athene
2,22,7.5,12.6,10.1,70.5,6.5,0.1,griekenland,athene
2,23,7.2,12.3,9.7,71.5,6.5,0.12,griekenland,athene
3,0,9.8,13.3,11.3,70.0,5.6,0.03,griekenland,athene
3,1,9.6,12.4,11.0,68.5,5.6,0.07,griekenland,athene
3,2,9.4,12.2,10.8,68.5,6.5,0.06,griekenland,athene
3,3,8.8,12.9,10.8,69.0,5.6,0.07,griekenland,athene
3,4,9.7,12.3,10.9,70.5,5.6,0.09,griekenland,athene
3,5,9.9,12.6,11.3,70.5,6.5,0.09,griekenland,athene
3,6,10.2,13.5,12.0,67.0,5.6,0.05,griekenland,athene
3,7,11.4,14.2,12.6,63.5,7.4,0.09,griekenland,athene
3,8,12.2,15.7,13.8,59.0,9.3,0.11,griekenland,athene
