m,coco,coco_pct,country,place
1,1.0,0.156,griekenland,athene
1,2.0,0.411,griekenland,athene
1,3.0,0.272,griekenland,athene
1,4.0,0.065,griekenland,athene
1,7.0,0.056,griekenland,athene
1,8.0,0.023,griekenland,athene
1,9.0,0.009,griekenland,athene
1,12.0,0.0,griekenland,athene
1,13.0,0.0,griekenland,athene
1,14.0,0.004,griekenland,athene
1,15.0,0.0,griekenland,athene
1,17.0,0.0,griekenland,athene
1,18.0,0.001,griekenland,athene
1,23.0,0.0,griekenland,athene
1,25.0,0.004,griekenland,athene
1,26.0,0.0,griekenland,athene
1,27.0,0.0,griekenland,athene
2,1.0,0.221,griekenland,athene
2,2.0,0.384,griekenland,athene
2,3.0,0.233,griekenland,athene
2,4.0,0.084,griekenland,athene
2,7.0,0.048,griekenland,athene
2,8.0,0.022,griekenland,athene
2,9.0,0.003,griekenland,athene
2,12.0,0.0,griekenland,athene
2,13.0,0.0,griekenland,athene
2,14.0,0.003,griekenland,athene
2,15.0,0.001,griekenland,athene
2,17.0,0.0,griekenland,athene
2,18.0,0.0,griekenland,athene
2,23.0,0.0,griekenland,athene
2,25.0,0.0,griekenland,athene
2,26.0,0.0,griekenland,athene
2,27.0,0.0,griekenland,athene
3,1.0,0.21,griekenland,athene
3,2.0,0.418,griekenland,athene
3,3.0,0.248,griekenland,athene
3,4.0,0.076,griekenland,athene
3,7.0,0.037,griekenland,athene
3,8.0,0.007,griekenland,athene
3,9.0,0.003,griekenland,athene
3,12.0,0.0,griekenland,athene
3,13.0,0.0,griekenland,athene
3,14.0,0.0,griekenland,athene
3,15.0,0.0,griekenland,athene
3,17.0,0.0,griekenland,athene
3,18.0,0.0,griekenland,athene
3,23.0,0.0,griekenland,athene
3,25.0,0.001,griekenland,athene
3,26.0,0.0,griekenland,athene
3,27.0,0.0,griekenland,athene
4,1.0,0.251,griekenland,athene
4,2.0,0.416,griekenland,athene
4,3.0,0.219,griekenland,athene
4,4.0,0.067,griekenland,athene
4,7.0,0.029,griekenland,athene
4,8.0,0.009,griekenland,athene
4,9.0,0.008,griekenland,athene
4,12.0,0.0,griekenland,athene
4,13.0,0.0,griekenland,athene
4,14.0,0.0,griekenland,athene
4,15.0,0.0,griekenland,athene
4,17.0,0.0,griekenland,athene
4,18.0,0.001,griekenland,athene
4,23.0,0.0,griekenland,athene
4,25.0,0.002,griekenland,athene
4,26.0,0.0,griekenland,athene
4,27.0,0.0,griekenland,athene
5,1.0,0.252,griekenland,athene
5,2.0,0.44,griekenland,athene
5,3.0,0.227,griekenland,athene
