m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,6.5,10.8,15.0,11.0,16.0,0.53,52.0
2,7.9,12.1,16.7,10.6,15.0,0.53,33.0
3,8.5,12.8,17.1,11.2,20.0,0.63,118.0
4,10.5,14.5,18.8,11.0,11.0,0.35,41.0
5,12.5,16.4,21.0,12.1,13.0,0.43,27.0
6,15.0,18.1,21.8,12.2,15.0,0.51,23.0
7,16.4,19.7,23.7,12.5,4.0,0.13,0.0
8,16.4,19.7,24.2,12.1,3.0,0.1,0.0
9,15.4,19.2,23.9,10.4,13.0,0.43,17.0
10,13.4,17.5,22.0,10.4,21.0,0.68,100.0
11,10.5,13.9,17.6,10.5,17.0,0.57,58.0
12,8.5,12.3,16.1,10.9,16.0,0.52,80.0
