m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,24.0,27.0,31.1,8.6,30.0,0.96,275.0
2,23.9,27.1,31.5,7.4,29.0,0.99,258.0
3,23.9,27.2,32.0,5.9,31.0,0.98,266.0
4,23.9,27.4,32.0,5.5,28.0,0.94,123.0
5,23.2,27.1,31.7,8.2,24.0,0.77,36.0
6,22.5,26.3,31.0,8.6,22.0,0.73,43.0
7,21.0,25.3,30.0,10.6,18.0,0.58,26.0
8,21.5,25.7,30.5,10.6,17.0,0.56,16.0
9,22.5,26.7,31.5,11.1,19.0,0.64,29.0
10,23.5,27.6,32.5,10.1,23.0,0.73,59.0
11,24.4,27.9,32.5,6.9,29.0,0.97,239.0
12,24.4,27.3,31.6,7.3,29.0,0.93,251.0
