m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
1,1,8.8,12.7,16.5,11.3,3.0,0.27,5.0,portugal,albufeira
1,2,8.8,13.1,16.5,14.1,2.0,0.18,4.0,portugal,albufeira
1,3,10.5,14.0,17.0,16.0,3.0,0.29,6.0,portugal,albufeira
2,1,9.8,13.6,17.2,13.0,3.0,0.25,8.0,portugal,albufeira
2,2,11.1,14.6,18.2,13.6,2.0,0.24,9.0,portugal,albufeira
2,3,10.8,14.5,18.2,14.2,2.0,0.22,2.0,portugal,albufeira
3,1,10.6,14.1,17.9,15.4,4.0,0.45,17.0,portugal,albufeira
3,2,11.7,15.4,19.1,13.0,3.0,0.28,14.0,portugal,albufeira
3,3,12.3,15.4,18.9,16.5,3.0,0.25,14.0,portugal,albufeira
4,1,12.4,15.8,19.4,14.8,3.0,0.34,6.0,portugal,albufeira
4,2,14.1,17.4,21.4,14.6,2.0,0.21,4.0,portugal,albufeira
4,3,13.5,17.1,20.5,16.6,3.0,0.28,9.0,portugal,albufeira
5,1,15.1,19.0,23.0,14.0,1.0,0.1,1.0,portugal,albufeira
5,2,16.1,19.9,24.9,15.3,1.0,0.12,0.0,portugal,albufeira
5,3,16.5,20.8,25.0,14.8,1.0,0.11,0.0,portugal,albufeira
6,1,17.4,20.8,24.3,15.3,2.0,0.17,2.0,portugal,albufeira
6,2,17.5,20.6,24.9,16.8,1.0,0.11,0.0,portugal,albufeira
6,3,18.6,22.5,26.6,14.3,0.0,0.03,0.0,portugal,albufeira
7,1,19.2,23.1,27.2,14.4,0.0,0.0,0.0,portugal,albufeira
7,2,20.8,24.5,28.6,14.4,0.0,0.0,0.0,portugal,albufeira
7,3,20.8,24.6,29.5,14.4,0.0,0.03,0.0,portugal,albufeira
8,1,20.7,25.3,30.4,12.8,0.0,0.02,0.0,portugal,albufeira
8,2,20.6,24.5,29.1,12.4,0.0,0.0,0.0,portugal,albufeira
8,3,20.8,24.5,28.4,11.9,0.0,0.0,0.0,portugal,albufeira
9,1,19.6,23.0,26.5,12.8,1.0,0.13,0.0,portugal,albufeira
9,2,19.5,22.6,26.1,12.2,2.0,0.2,1.0,portugal,albufeira
9,3,18.4,21.9,25.9,12.0,2.0,0.17,1.0,portugal,albufeira
10,1,17.9,21.2,25.6,12.1,1.0,0.09,0.0,portugal,albufeira
10,2,16.5,19.6,23.0,13.5,4.0,0.41,32.0,portugal,albufeira
10,3,15.5,18.5,21.5,11.9,5.0,0.44,23.0,portugal,albufeira
11,1,13.7,17.2,20.3,13.0,4.0,0.35,8.0,portugal,albufeira
11,2,13.5,16.8,20.0,13.5,3.0,0.31,16.0,portugal,albufeira
11,3,11.6,15.3,18.6,12.3,3.0,0.3,14.0,portugal,albufeira
12,1,10.4,14.0,17.8,11.8,3.0,0.32,12.0,portugal,albufeira
12,2,11.6,14.6,17.5,14.1,4.0,0.39,15.0,portugal,albufeira
12,3,10.7,14.1,17.5,12.4,2.0,0.17,2.0,portugal,albufeira
1,1,15.3,16.3,17.5,18.9,8.0,0.84,40.0,portugal,azoren
1,2,14.6,16.0,17.3,18.1,8.0,0.8,27.0,portugal,azoren
1,3,14.7,16.0,17.2,17.9,8.0,0.75,38.0,portugal,azoren
2,1,14.4,15.8,17.3,18.0,7.0,0.73,27.0,portugal,azoren
2,2,13.2,15.1,17.0,19.0,7.0,0.73,43.0,portugal,azoren
2,3,13.8,15.5,17.0,17.0,8.0,0.84,32.0,portugal,azoren
3,1,13.9,15.4,17.3,17.8,7.0,0.71,24.0,portugal,azoren
3,2,14.3,15.6,17.5,17.5,6.0,0.64,28.0,portugal,azoren
3,3,13.4,15.3,17.2,16.5,8.0,0.76,29.0,portugal,azoren
4,1,14.4,16.0,17.4,21.2,7.0,0.68,36.0,portugal,azoren
4,2,14.7,16.3,18.2,16.4,7.0,0.73,22.0,portugal,azoren
4,3,14.6,16.5,18.3,16.2,7.0,0.7,19.0,portugal,azoren
5,1,15.5,17.4,19.5,15.6,8.0,0.78,28.0,portugal,azoren
5,2,15.3,17.7,20.0,12.2,7.0,0.72,12.0,portugal,azoren
5,3,16.0,18.1,20.1,12.5,8.0,0.74,17.0,portugal,azoren
6,1,17.0,18.7,20.8,14.6,7.0,0.71,22.0,portugal,azoren
6,2,17.6,19.7,21.9,12.1,7.0,0.66,25.0,portugal,azoren
6,3,18.4,20.3,22.7,12.7,6.0,0.59,11.0,portugal,azoren
7,1,19.0,21.0,23.2,11.9,7.0,0.71,8.0,portugal,azoren
7,2,19.5,21.6,23.9,12.8,6.0,0.62,12.0,portugal,azoren
7,3,20.7,22.9,25.1,10.5,8.0,0.73,9.0,portugal,azoren
8,1,20.8,23.2,25.4,11.1,6.0,0.64,14.0,portugal,azoren
8,2,21.3,23.5,25.8,11.4,5.0,0.51,7.0,portugal,azoren
8,3,21.4,23.4,25.5,11.5,7.0,0.67,22.0,portugal,azoren
9,1,20.5,22.6,25.0,12.5,7.0,0.69,17.0,portugal,azoren
9,2,20.6,22.4,24.8,13.6,5.0,0.53,13.0,portugal,azoren
9,3,20.5,22.1,24.0,14.4,7.0,0.74,27.0,portugal,azoren
10,1,20.2,21.8,23.5,16.4,8.0,0.79,33.0,portugal,azoren
10,2,18.3,20.0,21.9,17.6,8.0,0.79,47.0,portugal,azoren
10,3,17.5,19.1,20.8,17.0,8.0,0.69,33.0,portugal,azoren
11,1,17.5,19.1,20.9,17.3,7.0,0.71,40.0,portugal,azoren
11,2,16.6,18.2,20.0,15.9,8.0,0.77,26.0,portugal,azoren
11,3,16.6,17.8,19.1,17.8,9.0,0.85,50.0,portugal,azoren
12,1,15.5,16.9,18.6,15.3,8.0,0.75,35.0,portugal,azoren
12,2,15.0,16.3,18.0,20.4,8.0,0.84,32.0,portugal,azoren
12,3,14.8,16.3,17.6,19.8,7.0,0.63,67.0,portugal,azoren
1,1,6.1,9.6,12.5,6.2,0.0,,0.0,portugal,braga
1,2,6.5,9.5,13.3,7.1,0.0,,0.0,portugal,braga
1,3,7.7,10.7,14.4,7.4,0.0,,0.0,portugal,braga
2,1,7.7,10.8,14.5,7.0,0.0,,0.0,portugal,braga
2,2,8.2,11.6,15.9,6.0,0.0,,0.0,portugal,braga
2,3,8.2,11.9,15.4,6.1,0.0,,0.0,portugal,braga
3,1,8.1,11.3,14.5,8.5,0.0,,0.0,portugal,braga
3,2,8.5,12.0,16.2,7.0,0.0,,0.0,portugal,braga
3,3,9.2,13.0,17.5,7.2,0.0,,0.0,portugal,braga
4,1,9.7,12.7,17.2,7.1,0.0,,0.0,portugal,braga
4,2,11.1,14.8,18.8,6.9,0.0,,0.0,portugal,braga
4,3,10.8,14.4,17.7,6.1,0.0,,0.0,portugal,braga
5,1,12.6,16.1,19.5,6.7,0.0,,0.0,portugal,braga
5,2,12.5,15.9,19.5,7.2,0.0,,0.0,portugal,braga
5,3,13.4,17.9,22.2,6.1,0.0,,0.0,portugal,braga
6,1,13.9,17.5,20.8,6.9,0.0,,0.0,portugal,braga
6,2,13.9,17.3,20.4,5.9,0.0,,0.0,portugal,braga
6,3,14.7,17.9,21.6,6.1,0.0,,0.0,portugal,braga
7,1,15.3,18.9,22.9,6.4,0.0,,0.0,portugal,braga
7,2,16.3,20.6,24.7,6.7,0.0,,0.0,portugal,braga
7,3,15.5,19.0,22.8,6.7,0.0,,0.0,portugal,braga
8,1,16.0,19.3,23.1,6.7,0.0,,0.0,portugal,braga
8,2,15.5,19.4,23.5,6.8,0.0,,0.0,portugal,braga
8,3,15.3,19.0,23.7,6.3,0.0,,0.0,portugal,braga
9,1,16.2,19.8,23.8,6.4,0.0,,0.0,portugal,braga
9,2,15.7,19.2,23.5,5.7,0.0,,0.0,portugal,braga
9,3,14.0,17.4,21.4,5.5,0.0,,0.0,portugal,braga
10,1,13.8,17.1,21.6,5.5,0.0,,0.0,portugal,braga
10,2,14.2,17.2,19.9,6.5,0.0,,0.0,portugal,braga
10,3,12.2,15.3,18.4,6.6,0.0,,0.0,portugal,braga
11,1,11.1,13.4,16.5,7.6,0.0,,0.0,portugal,braga
11,2,10.4,13.4,17.4,5.9,0.0,,0.0,portugal,braga
11,3,9.5,12.1,15.0,7.0,0.0,,0.0,portugal,braga
12,1,8.1,10.7,13.7,6.6,0.0,,0.0,portugal,braga
12,2,9.1,11.4,14.4,8.6,0.0,,0.0,portugal,braga
12,3,8.4,11.0,14.2,7.2,0.0,,0.0,portugal,braga
1,1,6.1,9.6,12.5,6.2,0.0,,0.0,portugal,carvoeiro
1,2,6.5,9.5,13.3,7.1,0.0,,0.0,portugal,carvoeiro
1,3,7.7,10.7,14.4,7.4,0.0,,0.0,portugal,carvoeiro
2,1,7.7,10.8,14.5,7.0,0.0,,0.0,portugal,carvoeiro
2,2,8.2,11.6,15.9,6.0,0.0,,0.0,portugal,carvoeiro
2,3,8.2,11.9,15.4,6.1,0.0,,0.0,portugal,carvoeiro
3,1,8.1,11.3,14.5,8.5,0.0,,0.0,portugal,carvoeiro
3,2,8.5,12.0,16.2,7.0,0.0,,0.0,portugal,carvoeiro
3,3,9.2,13.0,17.5,7.2,0.0,,0.0,portugal,carvoeiro
4,1,9.7,12.7,17.2,7.1,0.0,,0.0,portugal,carvoeiro
4,2,11.1,14.8,18.8,6.9,0.0,,0.0,portugal,carvoeiro
4,3,10.8,14.4,17.7,6.1,0.0,,0.0,portugal,carvoeiro
5,1,12.6,16.1,19.5,6.7,0.0,,0.0,portugal,carvoeiro
5,2,12.5,15.9,19.5,7.2,0.0,,0.0,portugal,carvoeiro
5,3,13.4,17.9,22.2,6.1,0.0,,0.0,portugal,carvoeiro
6,1,13.9,17.5,20.8,6.9,0.0,,0.0,portugal,carvoeiro
6,2,13.9,17.3,20.4,5.9,0.0,,0.0,portugal,carvoeiro
6,3,14.7,17.9,21.6,6.1,0.0,,0.0,portugal,carvoeiro
7,1,15.3,18.9,22.9,6.4,0.0,,0.0,portugal,carvoeiro
7,2,16.3,20.6,24.7,6.7,0.0,,0.0,portugal,carvoeiro
7,3,15.5,19.0,22.8,6.7,0.0,,0.0,portugal,carvoeiro
8,1,16.0,19.3,23.1,6.7,0.0,,0.0,portugal,carvoeiro
8,2,15.5,19.4,23.5,6.8,0.0,,0.0,portugal,carvoeiro
8,3,15.3,19.0,23.7,6.3,0.0,,0.0,portugal,carvoeiro
9,1,16.2,19.8,23.8,6.4,0.0,,0.0,portugal,carvoeiro
9,2,15.7,19.2,23.5,5.7,0.0,,0.0,portugal,carvoeiro
9,3,14.0,17.4,21.4,5.5,0.0,,0.0,portugal,carvoeiro
10,1,13.8,17.1,21.6,5.5,0.0,,0.0,portugal,carvoeiro
10,2,14.2,17.2,19.9,6.5,0.0,,0.0,portugal,carvoeiro
10,3,12.2,15.3,18.4,6.6,0.0,,0.0,portugal,carvoeiro
11,1,11.1,13.4,16.5,7.6,0.0,,0.0,portugal,carvoeiro
11,2,10.4,13.4,17.4,5.9,0.0,,0.0,portugal,carvoeiro
11,3,9.5,12.1,15.0,7.0,0.0,,0.0,portugal,carvoeiro
12,1,8.1,10.7,13.7,6.6,0.0,,0.0,portugal,carvoeiro
12,2,9.1,11.4,14.4,8.6,0.0,,0.0,portugal,carvoeiro
12,3,8.4,11.0,14.2,7.2,0.0,,0.0,portugal,carvoeiro
1,1,8.0,11.9,15.2,12.0,3.0,0.32,9.0,portugal,cascais
1,2,8.1,11.8,14.6,16.1,4.0,0.41,37.0,portugal,cascais
1,3,10.3,12.7,15.2,18.2,4.0,0.36,24.0,portugal,cascais
2,1,9.6,12.6,16.5,14.6,3.0,0.34,23.0,portugal,cascais
2,2,9.9,13.1,16.9,13.3,4.0,0.41,14.0,portugal,cascais
2,3,10.0,13.3,17.4,16.1,4.0,0.42,9.0,portugal,cascais
3,1,10.0,12.9,15.6,18.5,6.0,0.6,36.0,portugal,cascais
3,2,10.7,13.9,17.6,16.3,4.0,0.41,4.0,portugal,cascais
3,3,10.8,14.1,18.0,14.1,4.0,0.38,8.0,portugal,cascais
4,1,11.1,14.0,17.1,16.4,6.0,0.56,26.0,portugal,cascais
4,2,12.5,15.6,19.5,16.3,4.0,0.41,13.0,portugal,cascais
4,3,11.9,15.6,19.3,16.8,5.0,0.45,18.0,portugal,cascais
5,1,13.7,17.3,21.9,17.2,3.0,0.26,4.0,portugal,cascais
5,2,14.0,17.7,22.5,19.6,2.0,0.15,0.0,portugal,cascais
5,3,15.0,18.3,23.5,18.8,2.0,0.2,1.0,portugal,cascais
6,1,15.6,18.4,22.5,19.6,3.0,0.32,6.0,portugal,cascais
6,2,16.0,18.7,22.4,17.2,3.0,0.34,3.0,portugal,cascais
6,3,16.3,19.5,23.6,21.2,2.0,0.23,3.0,portugal,cascais
7,1,16.6,20.5,24.6,21.5,1.0,0.13,0.0,portugal,cascais
7,2,17.2,21.2,26.6,19.9,0.0,0.03,0.0,portugal,cascais
7,3,17.0,20.4,25.0,23.8,1.0,0.05,0.0,portugal,cascais
8,1,17.5,20.8,25.5,21.2,1.0,0.1,0.0,portugal,cascais
8,2,17.4,20.7,25.8,22.8,0.0,0.02,0.0,portugal,cascais
8,3,16.4,20.3,25.6,19.9,0.0,0.02,0.0,portugal,cascais
9,1,16.5,20.2,26.4,14.2,3.0,0.25,2.0,portugal,cascais
9,2,17.0,20.8,25.8,14.8,3.0,0.28,24.0,portugal,cascais
9,3,15.9,20.0,24.3,16.3,2.0,0.18,4.0,portugal,cascais
10,1,15.6,19.5,24.9,14.4,2.0,0.17,1.0,portugal,cascais
10,2,15.4,18.2,21.1,15.1,5.0,0.5,20.0,portugal,cascais
10,3,13.7,17.1,20.3,14.4,6.0,0.58,35.0,portugal,cascais
11,1,12.7,15.3,18.4,15.0,6.0,0.63,17.0,portugal,cascais
11,2,12.3,15.3,18.3,14.5,5.0,0.46,13.0,portugal,cascais
11,3,11.2,14.5,16.9,14.2,6.0,0.59,29.0,portugal,cascais
12,1,9.5,12.6,16.2,14.7,5.0,0.46,19.0,portugal,cascais
12,2,10.9,13.7,16.0,16.7,6.0,0.56,47.0,portugal,cascais
12,3,10.0,13.0,16.5,11.8,4.0,0.38,18.0,portugal,cascais
1,1,3.9,7.4,12.0,8.7,4.0,0.37,6.0,portugal,castelo-branco
1,2,4.2,8.1,12.2,11.8,4.0,0.39,23.0,portugal,castelo-branco
