m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
1,9.5,13.1,16.6,14.0,8.0,0.25,15.0,portugal,albufeira
2,11.0,14.3,17.7,13.7,7.0,0.24,19.0,portugal,albufeira
3,11.6,15.1,18.7,15.0,10.0,0.33,45.0,portugal,albufeira
4,13.3,16.8,20.4,15.0,8.0,0.28,19.0,portugal,albufeira
5,15.9,20.0,24.2,14.8,3.0,0.11,1.0,portugal,albufeira
6,17.7,21.5,25.4,15.0,3.0,0.11,2.0,portugal,albufeira
7,20.1,24.2,28.7,14.4,0.0,0.01,0.0,portugal,albufeira
8,20.7,24.6,28.5,12.2,0.0,0.01,0.0,portugal,albufeira
9,19.3,22.6,26.3,12.3,5.0,0.17,3.0,portugal,albufeira
10,16.4,19.5,23.0,12.4,10.0,0.32,55.0,portugal,albufeira
11,13.1,16.2,19.9,13.0,10.0,0.32,38.0,portugal,albufeira
12,10.8,14.1,17.5,12.6,9.0,0.29,29.0,portugal,albufeira
1,14.8,16.0,17.3,18.3,25.0,0.79,105.0,portugal,azoren
2,13.9,15.6,17.2,18.4,22.0,0.76,103.0,portugal,azoren
3,13.8,15.4,17.3,17.7,22.0,0.71,81.0,portugal,azoren
4,14.6,16.2,18.2,17.3,21.0,0.7,77.0,portugal,azoren
5,15.7,17.7,19.9,13.8,23.0,0.75,57.0,portugal,azoren
6,17.5,19.7,21.9,13.1,20.0,0.65,58.0,portugal,azoren
7,19.6,21.8,23.9,11.4,21.0,0.69,29.0,portugal,azoren
8,21.1,23.3,25.5,11.1,19.0,0.61,44.0,portugal,azoren
9,20.5,22.4,24.7,14.1,20.0,0.65,57.0,portugal,azoren
10,18.6,20.4,21.8,17.2,23.0,0.75,112.0,portugal,azoren
11,16.8,18.1,19.8,17.3,23.0,0.78,117.0,portugal,azoren
12,15.0,16.3,18.0,19.1,23.0,0.74,134.0,portugal,azoren
1,6.7,9.8,13.6,7.0,0.0,,0.0,portugal,braga
2,8.1,11.5,15.2,6.3,0.0,,0.0,portugal,braga
3,8.5,12.0,16.1,7.4,0.0,,0.0,portugal,braga
4,10.6,14.2,17.7,6.6,0.0,,0.0,portugal,braga
5,12.7,16.1,19.8,6.5,0.0,,0.0,portugal,braga
6,14.1,17.5,21.0,6.1,0.0,,0.0,portugal,braga
7,15.6,19.2,23.1,6.7,0.0,,0.0,portugal,braga
8,15.7,19.2,23.3,6.5,0.0,,0.0,portugal,braga
9,15.0,18.9,23.1,5.8,0.0,,0.0,portugal,braga
10,13.3,16.5,19.7,6.3,0.0,,0.0,portugal,braga
11,10.3,13.0,16.0,6.6,0.0,,0.0,portugal,braga
12,8.6,11.1,14.2,7.2,0.0,,0.0,portugal,braga
1,6.7,9.8,13.6,7.0,0.0,,0.0,portugal,carvoeiro
2,8.1,11.5,15.2,6.3,0.0,,0.0,portugal,carvoeiro
3,8.5,12.0,16.1,7.4,0.0,,0.0,portugal,carvoeiro
4,10.6,14.2,17.7,6.6,0.0,,0.0,portugal,carvoeiro
5,12.7,16.1,19.8,6.5,0.0,,0.0,portugal,carvoeiro
6,14.1,17.5,21.0,6.1,0.0,,0.0,portugal,carvoeiro
7,15.6,19.2,23.1,6.7,0.0,,0.0,portugal,carvoeiro
8,15.7,19.2,23.3,6.5,0.0,,0.0,portugal,carvoeiro
9,15.0,18.9,23.1,5.8,0.0,,0.0,portugal,carvoeiro
10,13.3,16.5,19.7,6.3,0.0,,0.0,portugal,carvoeiro
11,10.3,13.0,16.0,6.6,0.0,,0.0,portugal,carvoeiro
12,8.6,11.1,14.2,7.2,0.0,,0.0,portugal,carvoeiro
1,9.1,12.2,15.1,15.2,11.0,0.37,71.0,portugal,cascais
2,9.8,13.1,16.8,14.6,11.0,0.39,45.0,portugal,cascais
3,10.5,13.8,17.1,16.0,14.0,0.46,48.0,portugal,cascais
4,11.6,15.0,18.8,16.6,14.0,0.48,57.0,portugal,cascais
5,14.2,17.6,22.5,18.5,6.0,0.2,5.0,portugal,cascais
6,16.0,18.8,22.6,19.2,9.0,0.3,13.0,portugal,cascais
7,17.0,20.5,25.0,21.0,2.0,0.07,0.0,portugal,cascais
8,17.2,20.7,25.6,21.4,1.0,0.04,0.0,portugal,cascais
9,16.2,20.1,25.5,15.3,7.0,0.24,30.0,portugal,cascais
10,14.7,18.2,21.3,14.9,13.0,0.42,55.0,portugal,cascais
11,12.3,15.0,18.0,14.6,17.0,0.56,59.0,portugal,cascais
12,10.0,13.2,16.2,14.2,14.0,0.46,84.0,portugal,cascais
1,4.6,8.7,12.7,11.8,12.0,0.38,40.0,portugal,castelo-branco
2,5.5,10.5,15.2,10.6,11.0,0.39,29.0,portugal,castelo-branco
3,7.0,11.7,16.4,12.4,15.0,0.47,79.0,portugal,castelo-branco
4,9.1,14.1,20.9,11.4,15.0,0.49,62.0,portugal,castelo-branco
5,12.7,19.7,27.8,12.4,8.0,0.25,9.0,portugal,castelo-branco
6,14.2,20.9,29.1,10.8,11.0,0.37,15.0,portugal,castelo-branco
7,17.9,25.5,34.5,11.6,1.0,0.03,0.0,portugal,castelo-branco
8,17.8,24.7,32.0,11.1,3.0,0.1,30.0,portugal,castelo-branco
9,16.0,21.6,27.2,10.6,9.0,0.3,26.0,portugal,castelo-branco
10,12.7,16.5,23.0,10.1,15.0,0.49,86.0,portugal,castelo-branco
11,8.2,11.8,16.5,11.3,15.0,0.51,73.0,portugal,castelo-branco
12,6.4,9.5,13.7,10.7,16.0,0.51,80.0,portugal,castelo-branco
1,7.8,10.4,14.1,9.8,18.0,0.59,81.0,portugal,coimbra
2,9.1,12.0,16.0,8.5,14.0,0.49,52.0,portugal,coimbra
3,9.0,12.1,16.7,9.5,17.0,0.56,81.0,portugal,coimbra
4,10.6,14.5,19.4,8.9,16.0,0.53,48.0,portugal,coimbra
5,12.2,16.5,22.0,9.2,16.0,0.53,29.0,portugal,coimbra
6,14.3,18.4,23.5,9.0,16.0,0.54,47.0,portugal,coimbra
7,15.7,20.5,26.6,8.7,7.0,0.23,2.0,portugal,coimbra
8,15.7,20.5,27.1,8.8,5.0,0.17,1.0,portugal,coimbra
9,15.9,19.9,26.3,8.0,14.0,0.46,28.0,portugal,coimbra
10,13.9,17.0,20.7,8.9,20.0,0.63,113.0,portugal,coimbra
11,11.0,13.2,16.4,9.0,20.0,0.67,110.0,portugal,coimbra
12,9.0,11.5,14.8,9.4,18.0,0.59,101.0,portugal,coimbra
1,7.4,11.3,15.0,10.9,12.0,0.38,40.0,portugal,ericeira
2,8.1,12.1,16.5,11.0,15.0,0.5,39.0,portugal,ericeira
3,9.2,13.0,16.5,12.9,16.0,0.53,46.0,portugal,ericeira
4,10.8,14.3,18.1,13.8,12.0,0.41,17.0,portugal,ericeira
5,13.6,16.8,21.1,14.4,8.0,0.27,3.0,portugal,ericeira
6,15.3,18.2,21.9,15.9,12.0,0.4,12.0,portugal,ericeira
7,16.4,19.8,24.1,15.9,3.0,0.08,0.0,portugal,ericeira
8,16.5,20.2,24.7,17.2,2.0,0.05,0.0,portugal,ericeira
9,15.6,19.8,24.7,13.4,13.0,0.42,22.0,portugal,ericeira
10,13.5,17.5,21.3,13.0,16.0,0.52,44.0,portugal,ericeira
11,10.9,14.1,17.8,11.8,14.0,0.48,26.0,portugal,ericeira
12,9.3,12.3,15.9,10.9,17.0,0.55,46.0,portugal,ericeira
1,9.1,12.2,15.1,15.2,11.0,0.37,71.0,portugal,estoril
2,9.8,13.1,16.8,14.6,11.0,0.39,45.0,portugal,estoril
3,10.5,13.8,17.1,16.0,14.0,0.46,48.0,portugal,estoril
4,11.6,15.0,18.8,16.6,14.0,0.48,57.0,portugal,estoril
5,14.2,17.6,22.5,18.5,6.0,0.2,5.0,portugal,estoril
6,16.0,18.8,22.6,19.2,9.0,0.3,13.0,portugal,estoril
7,17.0,20.5,25.0,21.0,2.0,0.07,0.0,portugal,estoril
8,17.2,20.7,25.6,21.4,1.0,0.04,0.0,portugal,estoril
9,16.2,20.1,25.5,15.3,7.0,0.24,30.0,portugal,estoril
10,14.7,18.2,21.3,14.9,13.0,0.42,55.0,portugal,estoril
11,12.3,15.0,18.0,14.6,17.0,0.56,59.0,portugal,estoril
12,10.0,13.2,16.2,14.2,14.0,0.46,84.0,portugal,estoril
1,9.5,13.1,16.6,14.0,8.0,0.25,15.0,portugal,faro
2,11.0,14.3,17.7,13.7,7.0,0.24,19.0,portugal,faro
3,11.6,15.1,18.7,15.0,10.0,0.33,45.0,portugal,faro
4,13.3,16.8,20.4,15.0,8.0,0.28,19.0,portugal,faro
5,15.9,20.0,24.2,14.8,3.0,0.11,1.0,portugal,faro
