m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct,country,place
1,0,9.9,14.0,12.0,80.0,11.9,0.08,portugal,albufeira
1,1,9.5,14.0,11.8,80.0,11.9,0.07,portugal,albufeira
1,2,8.7,14.0,11.5,81.0,11.0,0.05,portugal,albufeira
1,3,8.0,14.0,11.2,81.5,12.1,0.04,portugal,albufeira
1,4,8.4,14.0,11.2,82.0,11.0,0.05,portugal,albufeira
1,5,8.2,13.3,11.5,82.0,11.3,0.07,portugal,albufeira
1,6,8.2,14.0,11.4,81.0,11.9,0.04,portugal,albufeira
1,7,8.1,14.0,11.1,80.0,12.6,0.05,portugal,albufeira
1,8,8.2,13.7,11.2,79.0,13.5,0.05,portugal,albufeira
1,9,10.0,14.7,12.4,77.0,13.5,0.05,portugal,albufeira
1,10,12.0,16.0,14.2,72.0,13.5,0.09,portugal,albufeira
1,11,13.4,16.8,15.0,67.5,16.2,0.08,portugal,albufeira
1,12,14.0,17.0,15.7,65.5,16.8,0.08,portugal,albufeira
1,13,14.8,17.3,16.0,64.5,18.4,0.11,portugal,albufeira
1,14,15.0,17.7,16.3,65.0,18.3,0.07,portugal,albufeira
1,15,15.0,17.6,16.3,66.0,17.7,0.07,portugal,albufeira
1,16,14.8,17.0,16.0,67.5,16.7,0.05,portugal,albufeira
1,17,14.2,16.6,15.4,69.5,13.0,0.05,portugal,albufeira
1,18,13.0,16.0,14.5,72.0,11.0,0.02,portugal,albufeira
1,19,12.0,15.1,13.6,75.0,11.0,0.05,portugal,albufeira
1,20,11.2,15.0,13.0,77.5,11.7,0.05,portugal,albufeira
1,21,10.7,14.7,12.6,78.5,11.7,0.11,portugal,albufeira
1,22,10.0,14.8,12.2,78.5,12.0,0.05,portugal,albufeira
1,23,9.5,14.0,12.0,79.5,12.1,0.08,portugal,albufeira
2,0,12.0,14.3,13.2,81.0,10.8,0.05,portugal,albufeira
2,1,12.0,14.0,12.9,82.5,10.8,0.06,portugal,albufeira
2,2,11.0,14.0,12.7,82.0,11.2,0.07,portugal,albufeira
2,3,11.0,14.0,12.4,81.5,11.9,0.07,portugal,albufeira
2,4,10.5,14.0,12.3,82.0,11.1,0.07,portugal,albufeira
2,5,11.0,13.4,12.2,80.0,11.8,0.08,portugal,albufeira
2,6,10.2,13.1,12.0,81.5,11.0,0.05,portugal,albufeira
2,7,10.0,13.3,11.7,83.5,11.9,0.06,portugal,albufeira
2,8,11.0,13.0,12.0,80.5,12.8,0.05,portugal,albufeira
2,9,12.6,15.0,13.8,76.0,13.5,0.07,portugal,albufeira
2,10,14.0,16.5,15.4,68.5,15.3,0.08,portugal,albufeira
2,11,15.0,17.1,16.2,66.5,17.5,0.07,portugal,albufeira
2,12,15.8,17.9,16.7,66.5,19.1,0.07,portugal,albufeira
2,13,16.0,18.0,16.9,64.0,19.7,0.08,portugal,albufeira
2,14,16.0,18.1,17.1,64.0,20.9,0.04,portugal,albufeira
2,15,16.0,18.0,17.0,67.5,19.8,0.06,portugal,albufeira
2,16,16.0,18.0,17.0,66.0,18.0,0.09,portugal,albufeira
2,17,15.8,17.3,16.7,69.0,17.3,0.06,portugal,albufeira
2,18,15.0,16.6,15.8,74.0,14.4,0.04,portugal,albufeira
2,19,14.0,16.0,15.0,75.5,11.7,0.02,portugal,albufeira
2,20,13.8,15.9,14.6,78.0,11.1,0.05,portugal,albufeira
2,21,13.0,15.0,14.0,79.0,10.7,0.05,portugal,albufeira
2,22,12.0,15.0,13.6,80.0,11.0,0.04,portugal,albufeira
2,23,12.0,14.7,13.3,82.0,11.0,0.04,portugal,albufeira
3,0,11.9,15.2,13.6,77.0,11.0,0.07,portugal,albufeira
3,1,11.7,15.0,13.5,76.5,11.0,0.1,portugal,albufeira
3,2,11.4,15.0,13.3,77.5,10.8,0.08,portugal,albufeira
3,3,11.5,14.5,13.0,77.5,11.7,0.08,portugal,albufeira
3,4,11.0,14.6,12.8,79.5,12.6,0.09,portugal,albufeira
3,5,10.5,14.0,12.4,79.0,11.0,0.08,portugal,albufeira
3,6,10.6,14.0,12.4,79.0,12.6,0.08,portugal,albufeira
3,7,10.4,14.0,12.2,77.5,12.6,0.1,portugal,albufeira
3,8,12.0,15.3,13.9,74.5,12.6,0.08,portugal,albufeira
3,9,13.6,17.1,15.4,66.5,14.4,0.08,portugal,albufeira
3,10,14.3,18.0,16.1,66.0,16.4,0.09,portugal,albufeira
3,11,15.1,19.0,16.9,66.0,18.0,0.12,portugal,albufeira
3,12,16.0,19.6,17.6,64.0,18.4,0.12,portugal,albufeira
3,13,16.0,19.3,18.0,62.0,20.9,0.11,portugal,albufeira
3,14,16.2,19.4,17.8,63.5,20.0,0.12,portugal,albufeira
3,15,16.0,19.0,17.8,62.5,19.8,0.11,portugal,albufeira
3,16,16.0,19.4,17.7,65.0,19.5,0.11,portugal,albufeira
3,17,15.6,19.0,17.3,65.0,18.2,0.08,portugal,albufeira
3,18,15.0,18.5,16.8,68.5,16.2,0.06,portugal,albufeira
3,19,14.0,17.2,16.0,70.0,14.1,0.09,portugal,albufeira
3,20,13.8,16.5,15.2,74.5,12.8,0.1,portugal,albufeira
3,21,13.0,16.0,14.8,75.0,12.6,0.16,portugal,albufeira
3,22,12.7,16.0,14.1,76.0,12.1,0.09,portugal,albufeira
3,23,12.2,15.8,13.9,77.0,12.1,0.07,portugal,albufeira
4,0,13.1,17.0,15.2,76.0,12.1,0.04,portugal,albufeira
4,1,13.0,17.0,15.0,77.3,10.9,0.04,portugal,albufeira
4,2,12.6,16.5,14.6,76.8,11.0,0.05,portugal,albufeira
4,3,12.5,16.1,14.4,76.8,11.0,0.06,portugal,albufeira
4,4,12.0,16.0,14.1,78.5,11.0,0.07,portugal,albufeira
4,5,11.8,15.9,13.8,78.3,10.8,0.05,portugal,albufeira
4,6,11.7,15.8,13.8,79.5,10.8,0.03,portugal,albufeira
4,7,12.5,16.7,14.5,77.8,10.9,0.06,portugal,albufeira
4,8,14.2,18.0,16.1,70.5,12.7,0.09,portugal,albufeira
4,9,15.3,19.1,17.5,65.0,14.2,0.07,portugal,albufeira
4,10,16.7,20.0,18.6,64.0,17.3,0.05,portugal,albufeira
4,11,17.0,20.5,18.9,62.5,18.5,0.06,portugal,albufeira
4,12,17.4,20.7,19.0,61.0,19.4,0.05,portugal,albufeira
4,13,17.7,21.0,19.3,62.3,20.6,0.07,portugal,albufeira
4,14,18.0,21.0,19.5,62.8,21.6,0.06,portugal,albufeira
4,15,17.9,21.0,19.2,61.0,21.6,0.06,portugal,albufeira
4,16,17.8,21.0,19.2,63.5,21.0,0.04,portugal,albufeira
4,17,17.3,20.8,18.8,63.5,20.0,0.06,portugal,albufeira
4,18,16.8,20.0,18.3,66.8,18.3,0.05,portugal,albufeira
4,19,16.1,19.0,17.8,68.0,16.2,0.05,portugal,albufeira
4,20,15.6,18.5,17.0,72.8,14.2,0.05,portugal,albufeira
4,21,15.1,18.0,16.7,73.5,13.5,0.02,portugal,albufeira
4,22,14.4,17.7,16.2,74.3,11.9,0.04,portugal,albufeira
4,23,13.8,17.3,15.6,75.5,12.0,0.05,portugal,albufeira
5,0,16.2,20.4,18.3,67.5,11.7,0.0,portugal,albufeira
5,1,16.0,20.0,17.9,67.5,11.0,0.0,portugal,albufeira
5,2,15.5,19.6,17.6,68.5,10.8,0.0,portugal,albufeira
5,3,15.1,18.8,17.1,71.5,9.0,0.01,portugal,albufeira
5,4,15.0,18.6,16.7,72.5,9.0,0.02,portugal,albufeira
5,5,14.8,18.0,16.5,71.5,9.0,0.02,portugal,albufeira
5,6,15.0,18.7,16.8,72.5,8.1,0.01,portugal,albufeira
5,7,16.0,20.0,18.2,68.5,9.2,0.02,portugal,albufeira
5,8,17.3,22.0,19.7,61.0,11.7,0.03,portugal,albufeira
5,9,18.7,23.2,20.9,58.0,15.5,0.04,portugal,albufeira
5,10,19.2,24.0,21.7,57.5,16.2,0.01,portugal,albufeira
5,11,19.6,24.5,22.1,55.5,17.5,0.03,portugal,albufeira
5,12,19.8,24.4,22.2,55.5,18.5,0.01,portugal,albufeira
5,13,19.8,24.1,22.2,57.0,19.8,0.02,portugal,albufeira
5,14,20.0,24.1,22.5,57.0,21.1,0.02,portugal,albufeira
5,15,20.1,24.5,22.3,58.0,20.0,0.01,portugal,albufeira
5,16,20.3,25.1,22.7,60.5,19.8,0.01,portugal,albufeira
5,17,20.0,25.0,22.5,59.5,20.9,0.01,portugal,albufeira
5,18,19.8,24.1,22.1,58.5,19.3,0.01,portugal,albufeira
5,19,19.0,23.7,21.3,61.0,18.0,0.01,portugal,albufeira
5,20,18.0,22.5,20.6,65.5,16.2,0.01,portugal,albufeira
5,21,17.7,22.1,20.0,65.5,12.8,0.0,portugal,albufeira
5,22,17.1,21.3,19.2,65.5,12.6,0.01,portugal,albufeira
5,23,16.9,21.0,18.8,67.0,12.6,0.0,portugal,albufeira
6,0,18.0,21.2,19.7,69.5,11.0,0.01,portugal,albufeira
6,1,17.4,21.0,19.4,70.8,11.8,0.01,portugal,albufeira
6,2,17.0,21.0,19.2,70.0,9.8,0.01,portugal,albufeira
6,3,17.0,20.8,19.0,70.5,9.2,0.01,portugal,albufeira
6,4,16.5,20.3,18.5,71.8,9.2,0.03,portugal,albufeira
6,5,16.3,20.1,18.1,72.5,9.1,0.03,portugal,albufeira
6,6,16.5,20.4,18.5,71.0,9.0,0.01,portugal,albufeira
6,7,18.0,22.0,19.9,68.0,9.2,0.03,portugal,albufeira
6,8,19.0,23.1,21.2,61.5,11.5,0.02,portugal,albufeira
6,9,20.0,24.0,22.2,60.3,14.4,0.03,portugal,albufeira
6,10,21.0,24.4,22.5,58.8,16.0,0.02,portugal,albufeira
6,11,21.1,25.1,23.2,59.3,16.5,0.03,portugal,albufeira
6,12,21.6,25.4,23.3,59.3,18.0,0.01,portugal,albufeira
6,13,21.9,24.8,23.2,59.0,19.8,0.02,portugal,albufeira
6,14,21.9,25.0,23.4,60.8,19.8,0.02,portugal,albufeira
6,15,21.9,25.1,23.4,61.0,21.6,0.02,portugal,albufeira
6,16,22.0,25.5,23.5,60.5,21.9,0.02,portugal,albufeira
6,17,21.5,25.5,23.7,60.3,21.7,0.02,portugal,albufeira
6,18,21.0,25.8,23.3,60.8,19.8,0.0,portugal,albufeira
6,19,20.5,25.2,23.0,60.3,18.8,0.01,portugal,albufeira
6,20,20.0,24.0,22.1,65.0,16.4,0.01,portugal,albufeira
